id,name,code,parent_id,type,property_account_income_categ,property_account_expense_categ,property_stock_account_input_categ,property_stock_account_output_categ,property_stock_valuation_account_id
product_categ_N-TA,สมุดบัญชีจีน,N-TA,สมุด,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_N-WA,สมุดบัญชีเนื้อขาว,N-WA,สมุด,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_N-GA,สมุดบัญชีเนื้อเขียว,N-GA,สมุด,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_N-HV,สมุดปกแข็งสันตรง/สันโค้ง,N-HV,สมุด,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_N-HVC,สมุดปกแข็งมุมผ้า,N-HVC,สมุด,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_N-HVT,สมุดปกแข็งมุมมัน,N-HVT,สมุด,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_N-HVDW,สมุดปกแข็งสันห่วง,N-HVDW,สมุด,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_N-HVS,สมุดปกแข็งหุ้มปกพลาสติกลายสก๊อต,N-HVS,สมุด,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_N-TD,สมุดลายไทย,N-TD,สมุด,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_N-BL,สมุดปกน้ำเงิน,N-BL,สมุด,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_N-PP,สมุดปกพีพี,N-PP,สมุด,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_N-FS,สมุดปกแฟนซีเย็บลวด,N-FS,สมุด,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_N-FP,สมุดปกแฟนซีสันกาว,N-FP,สมุด,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_N-FDW,สมุดปกแฟนซีสันห่วง,N-FDW,สมุด,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_N-DW,สมุดวาดเขียน,N-DW,สมุด,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_N-PN,สมุดพิมพ์ชื่อ ชั้น วิชา,N-PN,สมุด,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_N-SPT,สมุดพิมพ์ตราสพฐ,N-SPT,สมุด,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_N-NC,สมุดนามบัตร,N-NC,สมุด,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_N-MIS,สมุดเบ็ดเตล็ด,N-MIS,สมุด,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_MS,Miscellaneous,MS,Finished Goods,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_MSA,ดินน้ำมัน,MSA,Miscellaneous,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_MSB,เทมเพลท,MSB,Miscellaneous,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_MSC,ปากกาลูกลื่น,MSC,Miscellaneous,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_MSD,ปากกาเคมี,MSD,Miscellaneous,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_MSE,ดินสอดำ,MSE,Miscellaneous,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_MSF,ไม้บรรทัด,MSF,Miscellaneous,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_MSG,ยางลบ,MSG,Miscellaneous,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_MSH,กบเหลา,MSH,Miscellaneous,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_MSI,สีฝุ่น,MSI,Miscellaneous,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_MSJ,บัตรรถ,MSJ,Miscellaneous,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_MSK,บิลคาร์บอน,MSK,Miscellaneous,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_MSL,บิลทั่วไป,MSL,Miscellaneous,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_MSM,แฟ้มเสนอเซ็นต์,MSM,Miscellaneous,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
