id,name,inventory_line_id/location_id,inventory_line_id/product_id/id,ปป,inventory_line_id/product_qty,inventory_line_id/product_uom
physical_inventory_floor1_count5,นับสต๊อก ชั้น 1 วันที่ 28-Jul-13,สาทร ชั้น 1,__export__.product_product_6966,เทสโก้ สมุดริมห่วงปกพีพี 70g A6/40 แผ่น PPWA6407 bar 0249,1584,เล่ม
,,สาทร ชั้น 1,product_103098,Q-BIZ สมุดปกอ่อนลายไทย 55g 9/30 แผ่น,18000,เล่ม
,,สาทร ชั้น 1,product_106700,Q-BIZ สมุดปกแข็งน้ำเงิน 2/70 แผ่น,25594,เล่ม
,,สาทร ชั้น 1,product_1184820,เทสโก้แวลู สมุดปกแข็งลายไทย   9/60 แพ็ค 6 ,22164,เล่ม
,,สาทร ชั้น 1,product_1184980,เทสโก้แวลู สมุดฉีกเล่มเล็ก  4/90 แพ็ค 10,53280,เล่ม
,,สาทร ชั้น 1,product_1207523,เทสโก้แวลู สมุดปกแข็งสีน้ำเงิน 2/70 แผ่น,2880,เล่ม
,,สาทร ชั้น 1,product_1244402,เทสโก้ สมุดโน๊ตปกหนัง No.188  100 แกรม 60 แผ่น,1164,เล่ม
,,สาทร ชั้น 1,product_1245065,เทสโก้ สมุดโน๊ตปกหนังเล็ก 60แกรม 64 แผ่น,1452,เล่ม
,,สาทร ชั้น 1,product_1451548,เทสโก้ สมุดปกอ่อนสันกาว 8/40 เคลือบโฮโลแกรม PBF8407,2480,เล่ม
,,สาทร ชั้น 1,product_1534561,เทสโก้ สมุดโน๊ตปกหนังกลาง 60แกรม 80แผ่น,96,เล่ม
,,สาทร ชั้น 1,product_1534565,เทสโก้ สมุดโน๊ตปกหนังสันห่วงA5 70g 80ผ.,2600,เล่ม
,,สาทร ชั้น 1,product_1534566,เทสโก้ สมุดบัญชีปกแข็ง 60แกรม 20/100แผ่น HV-201006,1104,เล่ม
,,สาทร ชั้น 1,product_159001,MKR สมุดปกภาพ 50แกรม 9/14แผ่น EF-10 ,2280,เล่ม
,,สาทร ชั้น 1,product_159004,MKR สมุดปกภาพ 50แกรม 9/80แผ่น EF-20,2040,เล่ม
,,สาทร ชั้น 1,product_1726869,เทสโก้ สมุดปกพีพีสันห่วงA5 60 แผ่นรวมปก 70g PPB-A5607,2544,เล่ม
,,สาทร ชั้น 1,product_1802343,เทสโก้ สมุดบัญชีจีนปกหนัง 60 แกรม 20/70 แผ่น,3060,เล่ม
,,สาทร ชั้น 1,product_1911581,เทสโก้ สมุดวาดเขียนเล็ก 80 แกรม  10 แผ่นรวมปก,2568,เล่ม
,,สาทร ชั้น 1,product_1911582,เทสโก้ สมุดวาดเขียนใหญ่ 80 แกรม  10 แผ่นรวมปก,1125,เล่ม
,,สาทร ชั้น 1,product_2188812,เทสโก้สมุดปกแข็งสันห่วงปกน้ำตาล70gB5/100,2328,เล่ม
,,สาทร ชั้น 1,product_2241339,เทสโก้ สมุดปกแข็งแฟนซี 9/100 แผ่น 60 แกรม HV91006,1536,เล่ม
,,สาทร ชั้น 1,product_2321224,เทสโก้ สมุดปกพีพีสันห่วงตัด16 70 แกรม 60 แผ่น PPN16607,3492,เล่ม
,,สาทร ชั้น 1,product_235301,Q-BIZ กระดาษการ์ดสีครีม 110g A4 100 ผ. ,297,ห่อ
,,สาทร ชั้น 1,product_235302,Q-BIZ กระดาษการ์ดสีม่วง 110g A4 100 ผ. ,1132,ห่อ
,,สาทร ชั้น 1,product_235307,Q-BIZ กระดาษถ่ายเอกสารสีม่วง 80g A4 100 แผ่น No.10,1004,ห่อ
,,สาทร ชั้น 1,product_235308,Q-BIZ กระดาษถ่ายเอกสารสีเหลืองทอง 80g A4 100 แผ่น No.11,875,ห่อ
,,สาทร ชั้น 1,product_2525970,เทสโก้ สมุดโน๊ตปกหนัง No.136 80แกรม 30แผ่น,1956,เล่ม
,,สาทร ชั้น 1,product_2525972,เทสโก้ สมุดโน๊ตปกหนัง No.199 100 แกรม 60 แผ่น,948,เล่ม
,,สาทร ชั้น 1,product_2525974,เทสโก้ สมุดโน๊ตปกหนัง No.747 80 แกรม 60 แผ่น,768,เล่ม
,,สาทร ชั้น 1,product_268309,เทสโก้ สมุดฉีกมีเส้น  A80  แพ็ค 10,20400,เล่ม
,,สาทร ชั้น 1,product_268335,เทสโก้ สมุดบัญชีจีนเล็ก 20/100 แผ่นรวมปก 55g 36 แผ่น P6,4774,เล่ม
,,สาทร ชั้น 1,product_2800459,เทสโก้ สมุดปกพีพี 70 แกรม 34แผ่นรวมปกA,6336,เล่ม
,,สาทร ชั้น 1,product_2800460,เทสโก้ สมุดปกพีพี 70 แกรม 34แผ่นรวมปกB,516,เล่ม
,,สาทร ชั้น 1,product_2800461,เทสโก้ สมุดปกพีพี 70 แกรม 34แผ่นรวมปกC,15156,เล่ม
,,สาทร ชั้น 1,product_2800462,เทสโก้ สมุดปกพีพี 70 แกรม 34แผ่นรวมปกD,11832,เล่ม
,,สาทร ชั้น 1,product_2800464,เทสโก้ สมุดปกแข็งสันตรง 70 แกรม 80 แผ่นรวมปกB,3096,เล่ม
,,สาทร ชั้น 1,product_2800467,เทสโก้ สมุดปกแข็งสันห่วงA6 70 แกรม 80 แผ่นรวมปกA,3336,เล่ม
,,สาทร ชั้น 1,product_2800468,เทสโก้ สมุดปกแข็งสันห่วงA6 70 แกรม 80 แผ่นรวมปกB,3276,เล่ม
,,สาทร ชั้น 1,product_2800470,เทสโก้ สมุดปกแข็งสันห่วงA6 70 แกรม 80 แผ่นรวมปกC,5664,เล่ม
,,สาทร ชั้น 1,product_2800471,เทสโก้ สมุดปกแข็งสันห่วงA6 70 แกรม 80 แผ่นรวมปกD,6024,เล่ม
,,สาทร ชั้น 1,product_2800473,เทสโก้ สมุดปกอ่อนสันห่วงบน A7 70 แกรม 40 แผ่นรวมปก แพ็ค 2 เล่มA,3084,เล่ม
,,สาทร ชั้น 1,product_2800474,เทสโก้ สมุดปกอ่อนสันห่วงบน A7 70 แกรม 40 แผ่นรวมปก แพ็ค 2 เล่มB,5412,เล่ม
,,สาทร ชั้น 1,product_2800529,เทสโก้ แวลู สมุดบัญชีจีนเล็ก 20/100 แผ่นรวมปก 55g 40แผ่น,3009,เล่ม
,,สาทร ชั้น 1,product_2800533,เทสโก้ สมุดปกแข็งสันห่วง A6/80 แผ่น 70แกรม ปั๊มฟอยด์,3888,เล่ม
,,สาทร ชั้น 1,product_2800534,เทสโก้ สมุดปกอ่อนสันห่วง 70แกรม 8/40แผ่น เคลือบโฮโลแกรม DWF-8407,2200,เล่ม
,,สาทร ชั้น 1,product_2800538,เทสโก้ สมุดปกแข็งสันห่วง A6/80 แผ่น 70แกรม HVDWA6807,624,เล่ม
,,สาทร ชั้น 1,product_2800539,เทสโก้ สมุดปกแข็งสันห่วง A5/100 แผ่น 70แกรม HVDWA51007,418,เล่ม
,,สาทร ชั้น 1,product_2800540,เทสโก้ สมุดปกพีพีสันห่วงA5/60 แผ่น 70 แกรม PPBD-A5607,1176,เล่ม
,,สาทร ชั้น 1,product_2800541,เทสโก้ สมุดริมห่วงปกพีพี 70g A5/100 แผ่น  PPWA51007,264,เล่ม
,,สาทร ชั้น 1,product_2800543,เทสโก้ สมุดปกแข็งสันตรง 60 แกรม 2/70 แผ่น BV-2706,900,เล่ม
,,สาทร ชั้น 1,product_2800544,เทสโก้ สมุดปกแข็งมุมมัน 70แกรม 5/100แผ่น HVB-51007,504,เล่ม
,,สาทร ชั้น 1,product_2800545,เทสโก้ สมุดปกแข็งหุ้มพลาสติก 100แกรม 5/100แผ่น,1087,เล่ม
,,สาทร ชั้น 1,product_2800638,เทสโก้ สมุดปกอ่อนสันห่วง A6 70 แกรม 40 แผ่นรวมปกA,20040,เล่ม
,,สาทร ชั้น 1,product_2800639,เทสโก้ สมุดปกอ่อนสันห่วง A6 70 แกรม 40 แผ่นรวมปกB,23988,เล่ม
,,สาทร ชั้น 1,product_2800640,เทสโก้ สมุดปกหนา สันห่วง B5 60 แกรม 40แผ่นรวมปกA,15192,เล่ม
,,สาทร ชั้น 1,product_2800641,เทสโก้ สมุดปกหนา สันห่วง B5 60 แกรม 40แผ่นรวมปกB,19872,เล่ม
,,สาทร ชั้น 1,product_2800643,เทสโก้ สมุดปกแข็งสันห่วง A5 70 แกรม100 แผ่นรวมปก B,1644,เล่ม
,,สาทร ชั้น 1,product_2800644,เทสโก้ สมุดปกแข็งสันห่วง A5 70 แกรม100 แผ่นรวมปกC,1248,เล่ม
