id,name,brand_id,partner_id,description_sale,description_purchase,product_main_code,product_sub_code,ean13,old_product_code,sale_ok,purchase_ok,type,procure_method,supply_method,list_price,cost_method,standard_price,cover_unit_price,categ_id,uom_id,uom_po_id,paper_size_id,paper_grams_id,paper_nums_id,paper_binding_id,product_pack_id,description,valuation,uos_id,uos_coeff,qty_available
makro_product_44,Q-BIZ กรดาษถ่ายเอกสารสีส้ม 80g A4 100 แผ่น No.15,,,,,112493,,,30-215,TRUE,FALSE,Stockable Product,Make to Stock,Buy,36.25,Standard Price,0,,กระดาษถ่ายเอกสารสี,ห่อ,ห่อ,A4,80,100,,1*1,,Real Time (automated),,,
makro_product_45,Q-BIZ กรดาษถ่ายเอกสารสีแดง 80g A4 100 แผ่น No.16,,,,,112507,,,30-214,TRUE,FALSE,Stockable Product,Make to Stock,Buy,36.25,Standard Price,0,,กระดาษถ่ายเอกสารสี,ห่อ,ห่อ,A4,80,100,,1*1,,Real Time (automated),,,
makro_product_46,Q-BIZ สมุดปกการ์ดสี 9/30 แผ่น,,,,,124006,,,30-174,TRUE,FALSE,Stockable Product,Make to Stock,Buy,37.25,Standard Price,0,,สมุดปกอ่อน,ห่อ,ห่อ,16.5*24,55,30,เย็บลวด,1*12,,Real Time (automated),,,
makro_product_47,Q-BIZ สมุดปกการ์ดอาร์ต 9/50 แผ่น,,,,,124950,,,30-180,TRUE,FALSE,Stockable Product,Make to Stock,Buy,74.00,Standard Price,0,,สมุดปกอ่อน,ห่อ,ห่อ,16.5*24,55,50,เย็บลวด,1*12,,Real Time (automated),,,
makro_product_48,Q-BIZ สมุดบัญชีเนื้อขาว 2 ช่องคู่ 5/50 แผ่น,,,,,135230,,,30-197,TRUE,FALSE,Stockable Product,Make to Stock,Buy,100.50,Standard Price,0,,สมุดบัญชีเนื้อขาว,ห่อ,ห่อ,21*33,100,50,เย็บเชือก/ปกแข็ง,1*2,,Real Time (automated),,,
makro_product_49,Q-BIZ สมุดบัญชีเนื้อขาว 3 ช่องคู่ 5/50 แผ่น,,,,,135239,,,30-198,TRUE,FALSE,Stockable Product,Make to Stock,Buy,100.50,Standard Price,0,,สมุดบัญชีเนื้อขาว,ห่อ,ห่อ,21*33,100,50,เย็บเชือก/ปกแข็ง,1*2,,Real Time (automated),,,
makro_product_50,Q-BIZ สมุดปกแข็งมุมมัน 70g 5/100 แผ่น,,,,,137677,,,30-183,TRUE,FALSE,Stockable Product,Make to Stock,Buy,132.50,Standard Price,0,,สมุดปกแข็งมุมมัน,ห่อ,ห่อ,20.5*32,70,100,ปกแข็ง,1*3,,Real Time (automated),,,
makro_product_51,Q-BIZ กระดาษฟุลสแก๊ป No.34 120 แผ่น,,,,,139364,,,30-145,TRUE,FALSE,Stockable Product,Make to Stock,Buy,50.00,Standard Price,0,,กระดาษฟุลสแก๊ป,ห่อ,ห่อ,19.8*21.4,60,120,,1*1,,Real Time (automated),,,
makro_product_52,Q-BIZ สมุดบัญชีจีนเล็ก 20/100,,,,,139528,,,30-185,TRUE,FALSE,Stockable Product,Make to Stock,Buy,41.00,Standard Price,0,,สมุดบัญชีจีน,ห่อ,ห่อ,9.5*21,55,44,ปกแข็ง,1*6,,Real Time (automated),,,
makro_product_53,Q-BIZ สมุดปกแข็งมุมมัน 80g 4/100,,,,,140001,,,30-181,TRUE,FALSE,Stockable Product,Make to Stock,Buy,239.00,Standard Price,0,,สมุดปกแข็งมุมมัน,ห่อ,ห่อ,26*37.5,80,100,ปกแข็ง,1*3,,Real Time (automated),,,
makro_product_54,Q-BIZ สมุดบัญชีจีนมุมมัน 70g 12/100,,,,,140002,,,30-182,TRUE,FALSE,Stockable Product,Make to Stock,Buy,89.25,Standard Price,0,,สมุดบัญชีจีน,ห่อ,ห่อ,12.5*26.5,70,100,ปกแข็ง,1*3,,Real Time (automated),,,
makro_product_55,Q-BIZ กระดาษโรเนียวปรู๊ฟ F4  1*300 แผ่น,,,,,147372,,,30-205,TRUE,FALSE,Stockable Product,Make to Stock,Buy,48.00,Standard Price,0,,กระดาษโรเนียว,ห่อ,ห่อ,F4,,300,,1*1,,Real Time (automated),,,
makro_product_56,Q-BIZ กรดาษถ่ายเอกสารสี 80g A4 200 แผ่น (คละสีNo.1-4),,,,,157360,,,30-278,TRUE,FALSE,Stockable Product,Make to Stock,Buy,45.00,Standard Price,0,,กระดาษถ่ายเอกสารสี,ห่อ,ห่อ,A4,80,200,,1*1,,Real Time (automated),,,
makro_product_57,Q-Biz สมุดสันห่วงปกPVC -A5 70g 80s,,,,,194527,,,30-292,TRUE,FALSE,Stockable Product,Make to Stock,Buy,89.00,Standard Price,0,,สมุดโน๊ตปกหนัง,ห่อ,ห่อ,14.5*21,70,80,สันห่วง,1*3,,Real Time (automated),,,
makro_product_58,Q-Biz สมุดโน๊ตปกPVCเล็ก 60g 64s,,,,,194528,,,30-293,TRUE,FALSE,Stockable Product,Make to Stock,Buy,44.00,Standard Price,0,,สมุดโน๊ตปกหนัง,ห่อ,ห่อ,7.2*10.5,60,64,สอดปกPVc,1*6,,Real Time (automated),,,
makro_product_59,Q-BIZ กระดาษการ์ดสีครีม 110g A4 100 ผ. ,,,,,235301,,,30-212,TRUE,FALSE,Stockable Product,Make to Stock,Buy,40.00,Standard Price,0,,กระดาษการ์ดสี,ห่อ,ห่อ,A4,110,100,,1*1,,Real Time (automated),,,
makro_product_60,Q-BIZ กระดาษการ์ดสีม่วง 110g A4 100 ผ. ,,,,,235302,,,30-213,TRUE,FALSE,Stockable Product,Make to Stock,Buy,40.00,Standard Price,0,,กระดาษการ์ดสี,ห่อ,ห่อ,A4,110,100,,1*1,,Real Time (automated),,,
makro_product_61,Q-BIZ กระดาษถ่ายเอกสารสีม่วง 80g A4 100 แผ่น No.10,,,,,235307,,,30-218,TRUE,FALSE,Stockable Product,Make to Stock,Buy,33.50,Standard Price,0,,กระดาษถ่ายเอกสารสี,ห่อ,ห่อ,A4,80,100,,1*1,,Real Time (automated),,,
makro_product_62,Q-BIZ กระดาษถ่ายเอกสารสีเหลืองทอง 80g A4 100 แผ่น No.11,,,,,235308,,,30-219,TRUE,FALSE,Stockable Product,Make to Stock,Buy,33.50,Standard Price,0,,กระดาษถ่ายเอกสารสี,ห่อ,ห่อ,A4,80,100,,1*1,,Real Time (automated),,,
