id,uom_so_id
product_P-PCWF-037,ห่อ
product_P-PCWF-038,ห่อ
product_P-PCWF-039,ห่อ
product_P-PCWF-040,ห่อ
product_P-PCWF-041,ห่อ
product_P-PCWF-042,ห่อ
product_P-PCWF-SR-001,ห่อ
product_P-PCWF-SR-002,ห่อ
product_P-PCWF-SR-003,ห่อ
product_P-PCWF-SR-004,ห่อ
product_P-PCWF-SR-005,ห่อ
product_P-PCWF-SR-006,ห่อ
product_P-PCWF-SR-007,ห่อ
product_P-PCWF-SR-008,ห่อ
product_P-RC-35*47,รีม
product_P-LG-001,ห่อ
product_P-LG-002,ห่อ
product_P-LG-003,ห่อ
product_P-LG-004,ห่อ
product_P-LG-005,ห่อ
product_P-LG-006,ห่อ
product_P-LG-007,ห่อ
product_P-LG-008,ห่อ
product_P-LG-009,ห่อ
product_P-LG-010,ห่อ
product_P-LG-011,ห่อ
product_P-LG-012,ห่อ
product_P-LG-013,ห่อ
product_P-LG-014,ห่อ
product_P-TCWF-001,ห่อ
product_P-TCWF-002,ห่อ
product_P-TCWF-003,ห่อ
product_P-TCWF-004,ห่อ
product_P-TCWF-005,ห่อ
product_P-TCWF-006,ห่อ
product_P-TCWF-007,ห่อ
product_P-TCWF-008,ห่อ
product_P-TCWF-009,ห่อ
product_P-TCWF-010,ห่อ
product_P-TCWF-011,ห่อ
product_P-TCWF-012,ห่อ
product_P-TCWF-013,ห่อ
product_P-TCWF-014,ห่อ
product_P-TCWF-015,ห่อ
product_P-TCWF-016,ห่อ
product_P-TCWF-017,ห่อ
product_P-TCWF-018,ห่อ
product_P-TCWF-019,ห่อ
product_P-TCWF-020,ห่อ
product_P-TCWF-021,ห่อ
product_P-TCWF-022,ห่อ
product_P-TCWF-023,ห่อ
product_P-TCWF-024,ห่อ
product_P-TCWF-025,รีม
product_P-TCWF-026,รีม
product_P-TCWF-027,รีม
product_P-TCWF-028,รีม
product_P-NP-31*43,รีม
product_P-WF-60G,รีม
product_P-WF-70G,รีม
product_P-WF-80G,รีม
product_P-WF-100G,รีม
product_P-PT-001,แผ่น
product_P-PT-002,แผ่น
product_P-PT-003,แผ่น
product_P-PT-004,แผ่น
product_P-PT-005,แผ่น
product_P-PT-006,แผ่น
product_P-PT-007,แผ่น
product_P-PT-008,แผ่น
product_P-PT-009,แผ่น
product_P-PT-010,แผ่น
product_P-PT-011,แผ่น
product_P-PT-012,แผ่น
product_P-PT-013,แผ่น
product_P-PT-014,แผ่น
product_P-PT-015,แผ่น
product_P-PT-016,แผ่น
product_P-PT-017,แผ่น
product_P-PT-018,แผ่น
product_P-PT-019,แผ่น
product_P-PT-020,แผ่น
product_P-PT-021,แผ่น
product_P-PT-022,แผ่น
product_P-PT-023,แผ่น
product_P-PT-024,แผ่น
product_P-PT-025,แผ่น
product_P-PT-026,แผ่น
product_P-PT-027,แผ่น
product_P-PT-028,แผ่น
product_P-PT-029,แผ่น
product_P-PT-030,แผ่น
product_P-PT-031,แผ่น
product_P-PT-032,แผ่น
product_P-PT-033,แผ่น
product_P-PT-034,แผ่น
product_P-PT-035,แผ่น
product_P-PT-036,แผ่น
product_P-PT-037,แผ่น
product_P-PT-038,แผ่น
product_P-PT-039,แผ่น
product_P-PT-040,แผ่น
product_P-PT-041,แผ่น
product_P-PT-042,แผ่น
product_P-PT-043,แผ่น
product_P-PT-044,แผ่น
product_P-PT-045,แผ่น
product_P-PT-046,แผ่น
product_P-PT-047,แผ่น
product_P-PT-048,แผ่น
product_P-PT-049,แผ่น
product_P-PT-050,แผ่น
product_P-PT-051,แผ่น
product_P-PT-052,แผ่น
product_P-PT-053,แผ่น
product_P-PT-054,แผ่น
product_P-PT-055,แผ่น
product_P-PT-056,แผ่น
product_P-PT-057,แผ่น
product_P-PT-058,แผ่น
product_P-PT-059,แผ่น
product_P-PT-060,แผ่น
product_P-PT-1SM,แผ่น
product_P-PT-2SM,แผ่น
product_P-PT-HM,แผ่น
product_P-FS-NO34,ห่อ
product_P-FS-NO36,ห่อ
product_P-FS-NO150,ห่อ
product_P-FP-PANDA,ม้วน
product_P-FP-VENUS,ม้วน
product_P-RP-A4-70G,ห่อ
product_P-DP-A-001,ห่อ
product_P-DP-A-002,ห่อ
product_P-DP-A-003,ห่อ
product_P-DP-A-004,ห่อ
product_P-DP-A-005,ห่อ
product_P-DP-A-006,ห่อ
product_P-DP-B-001,ห่อ
product_P-DP-B-002,ห่อ
product_P-DP-B-003,ห่อ
product_P-DP-B-004,ห่อ
product_P-DP-B-005,ห่อ
product_P-DP-B-006,ห่อ
product_P-DP-A-007,ห่อ
product_P-DP-A-008,ห่อ
product_P-DP-A-009,ห่อ
product_P-DP-A-010,ห่อ
product_P-DP-A-011,ห่อ
product_P-DP-A-012,ห่อ
product_P-DP-B-007,ห่อ
product_P-DP-B-008,ห่อ
product_P-DP-B-009,ห่อ
product_P-DP-B-010,ห่อ
product_P-DP-B-011,ห่อ
product_P-DP-B-012,ห่อ
product_P-DP-A-013,ห่อ
product_P-DP-A-014,ห่อ
product_P-DP-A-015,ห่อ
product_P-DP-A-016,ห่อ
product_P-DP-A-017,ห่อ
product_P-DP-A-018,ห่อ
product_P-DP-B-013,ห่อ
product_P-DP-B-014,ห่อ
product_P-DP-A-019,ห่อ
product_P-DP-A-020,ห่อ
product_P-DW-31*21dot5-120G,รีม
product_P-DW-31*21dot5-150G,รีม
product_P-DW-31*43-120G,รีม
product_P-DW-31*43-150G,รีม
product_P-DW-56*79-200G,รีม
product_P-WS-NO65-200,ห่อ
product_P-WS-NO65-300,ห่อ
product_P-GW-100,ห่อ
product_P-GW-125,ห่อ
product_P-NB,กล่อง
product_P-TC-AMANO,ห่อ
product_P-TC-SAIKO,ห่อ
product_P-FC-001,ห่อ
product_P-FC-002,ห่อ
product_P-FC-003,ห่อ
product_P-FC-004,ห่อ
product_P-FC-A4-2T,ห่อ
product_N-TS-470L,เล่ม
product_N-TS-A70L,เล่ม
product_N-TS-A90L,เล่ม
product_N-TS-AA100L,เล่ม
product_N-TS-NO4NL,เล่ม
product_N-TS-NO5NL,เล่ม
product_N-TS-A70NL,เล่ม
product_N-TS-AA100NL,เล่ม
product_N-PV-A4406B,โหล
product_N-PV-A4206,โหล
product_N-PV-A4406,โหล
product_N-PV-A4506,โหล
product_N-PV-13,โหล
product_N-DR-A5,เล่ม
product_N-DR-B5,เล่ม
product_N-DR-A5ORG,เล่ม
product_N-DR-B6ORG,เล่ม
product_N-DR-PD,เล่ม
product_N-DR-HD,เล่ม
product_N-DR-BP,เล่ม
product_N-DR-PVCA5,เล่ม
product_N-DR-BDB6,เล่ม
product_N-DR-SA5ORG,เล่ม
product_N-DR-SB5ORG,เล่ม
product_N-PVC-136,กุรุส
product_N-PVC-188,โหล
product_N-PVC-199,โหล
product_N-PVC-747,โหล
product_N-TA-70G9100,โหล
product_N-TA-70G9150,โหล
product_N-TA-70G9200,โหล
product_N-TA-100G9100,โหล
product_N-TA-100G9150,โหล
product_N-TA-100G9200,โหล
product_N-TA-70G12100,โหล
product_N-TA-70G12150,โหล
product_N-TA-70G12200,โหล
product_N-TA-100G12100,โหล
product_N-TA-100G12150,โหล
product_N-TA-100G12200,โหล
product_N-TA-80GAA20100,โหล
product_N-TA-80GAA20150,โหล
product_N-TA-80GAA20200,โหล
product_N-TA-55G840,โหล
product_N-TA-55G12100,โหล
product_N-TA-55G12150,โหล
product_N-TA-55G12200,โหล
product_N-TA-55G20100,กุรุส
product_N-TA-55G20150,กุรุส
product_N-TA-55G20200,กุรุส
product_N-TA-55GA20200,กุรุส
product_N-TA-60G2070PVC,โหล
product_N-TA-60G842C,โหล
product_N-TA-60G12100C,โหล
product_N-TA-60G12100PVC,โหล
product_N-WA-2S550,โหล
product_N-WA-2S5100,โหล
product_N-WA-2S5150,โหล
product_N-WA-2S5200,โหล
product_N-WA-2D550,โหล
product_N-WA-2D5100,โหล
product_N-WA-2D5150,โหล
product_N-WA-2D5200,โหล
product_N-WA-2S850,โหล
product_N-WA-2S8100,โหล
product_N-WA-2D850,โหล
product_N-WA-2D8100,โหล
product_N-WA-3S550,โหล
product_N-WA-3S5100,โหล
product_N-WA-3S5150,โหล
product_N-WA-3S5200,โหล
product_N-WA-3D550,โหล
product_N-WA-3D5100,โหล
product_N-WA-3D5150,โหล
product_N-WA-3D5200,โหล
product_N-WA-3S850,โหล
product_N-WA-3S8100,โหล
product_N-WA-3D850,โหล
product_N-WA-3D8100,โหล
product_N-WA-4S550,โหล
product_N-WA-4S5100,โหล
product_N-WA-4S5150,โหล
product_N-WA-4S5200,โหล
product_N-WA-4D550,โหล
product_N-WA-4D5100,โหล
product_N-WA-4D5150,โหล
product_N-WA-4D5200,โหล
product_N-WA-5S550,โหล
product_N-WA-5S5100,โหล
product_N-WA-5S5150,โหล
product_N-WA-5S5200,โหล
product_N-WA-5D550,โหล
product_N-WA-5D5100,โหล
product_N-WA-5D150,โหล
product_N-WA-5D5200,โหล
product_N-WA-8D550,โหล
product_N-WA-8D5100,โหล
product_N-WA-8D5150,โหล
product_N-WA-8D5200,โหล
product_N-WA-10D550,โหล
product_N-WA-10D5100,โหล
product_N-WA-10D5150,โหล
product_N-WA-10D5200,โหล
product_N-WA-GL550,โหล
product_N-WA-GL5100,โหล
product_N-WA-GL5150,โหล
product_N-WA-GL5200,โหล
product_N-WA-GL850,โหล
product_N-WA-GL8100,โหล
product_N-GA-2S550,โหล
product_N-GA-2S5100,โหล
product_N-GA-2S5150,โหล
product_N-GA-2S5200,โหล
product_N-GA-2D550,โหล
product_N-GA-2D5100,โหล
product_N-GA-2D5150,โหล
product_N-GA-2D5200,โหล
product_N-GA-3S550,โหล
product_N-GA-3S5100,โหล
product_N-GA-3S5150,โหล
product_N-GA-3S5200,โหล
product_N-GA-3D550,โหล
product_N-GA-3D5100,โหล
product_N-GA-3D5150,โหล
product_N-GA-3D5200,โหล
product_N-GA-5S550,โหล
product_N-GA-5S5100,โหล
product_N-GA-5D550,โหล
product_N-GA-5D5100,โหล
product_N-GA-5D5150,โหล
product_N-GA-5D5200,โหล
product_N-GA-10D550,โหล
product_N-GA-10D5100,โหล
product_N-GA-10D5150,โหล
product_N-GA-10D5200,โหล
product_N-GA-12D450,เล่ม
product_N-GA-12D4100,เล่ม
product_N-GA-12D4150,เล่ม
product_N-GA-12D4200,เล่ม
product_N-GA-14D450,เล่ม
product_N-GA-14D4100,เล่ม
product_N-GA-14D4150,เล่ม
product_N-GA-16D350,เล่ม
product_N-GA-16D3100,เล่ม
product_N-GA-18D350,เล่ม
product_N-GA-18D3100,เล่ม
product_N-GA-21D350,เล่ม
product_N-GA-21D3100,เล่ม
product_N-GA-21D3150,เล่ม
product_N-GA-21D3200,เล่ม
product_N-GA-21D350A,เล่ม
product_N-GA-21D3100A,เล่ม
product_N-GA-516D350,เล่ม
product_N-GA-516D3100,เล่ม
product_N-GA-516D3150,เล่ม
product_N-GA-516D3200,เล่ม
product_N-HV-51007,โหล
product_N-HVB-51007,โหล
product_N-HV-91007,โหล
product_N-HV-91006,โหล
product_N-BV-2706,โหล
product_N-HV-201006,โหล
product_N-HV-121006,โหล
product_N-HVDW-A51007,โหล
product_N-HVC-55G4100,โหล
product_N-HVC-55G5100,โหล
product_N-HVT-80G4100,โหล
product_N-HVT-80G4150,โหล
product_N-HVT-80G4200,โหล
product_N-HVT-100G4100,โหล
product_N-HVT-100G4150,โหล
product_N-HVT-100G4200,โหล
product_N-HVT-HVB51007,โหล
product_N-HVT-70G5100A,โหล
product_N-HVT-70G5150,โหล
product_N-HVT-70G5200,โหล
product_N-HVT-100G550,โหล
product_N-HVT-100G5100,โหล
product_N-HVT-100G5150,โหล
product_N-HVT-100G5200,โหล
product_N-HVT-70G8100,โหล
product_N-HVT-100G8100,โหล
product_N-HVS-100G5100,โหล
product_N-HVS-100G5150,โหล
product_N-HVS-100G5200,โหล
product_N-HVS-100G8100,โหล
product_N-HVS-100G8150,โหล
product_N-HVS-100G8200,โหล
product_N-HVS-100G9100,โหล
product_N-HVS-100G9150,โหล
product_N-HVS-100G9200,โหล
product_N-HVS-100G18100,โหล
product_N-TD-930,กุรุส
product_N-TD-936,กุรุส
product_N-TD-940,กุรุส
product_N-TD-970,โหล
product_N-TD-9100,โหล
product_N-BL-260,โหล
product_N-BL-270,โหล
product_N-BL-280,โหล
product_N-BL-2260,โหล
product_N-BL-250C,โหล
product_N-BL-260C,โหล
product_N-BL-270PVC,โหล
product_N-BL-452C,โหล
product_N-BL-480,โหล
product_N-BL-4260,โหล
product_N-PPT-9306,โหล
product_N-PPT-8307,โหล
product_N-PPW-OF-8507-1,โหล
product_N-PPW-8607,โหล
product_N-PPB-8607,โหล
product_N-PPN-16607,โหล
product_N-PPW-A51007,โหล
product_N-PPW-OF-A5807-1,โหล
product_N-PPB-A5607,โหล
product_N-PVC-A58080,โหล
product_N-PPBD-A5607,โหล
product_N-PPW-A6407,โหล
product_N-PPW-OF-A6807-1,โหล
product_N-PPW-A7607,โหล
product_N-PPT-32307,โหล
