id,name,inventory_line_id/location_id.id,inventory_line_id/product_id/id,inventory_line_id/product_uom/id,inventory_line_id/product_qty
,,30,product_P-PT-005,product.uom_แผ่น,0
,,30,product_P-FS-NO150,product.uom_ห่อ,0
,,30,product_N-DV-410150,product.uom_เล่ม,0
,,30,product_P-PT-056,product.uom_แผ่น,0
,,30,product_P-PT-006,product.uom_แผ่น,0
,,30,product_N-GA-16D3100,product.uom_เล่ม,0
,,30,product_N-GA-16D350,product.uom_เล่ม,0
,,30,product_P-HB-NO16-A,product.uom_รีม,0
,,30,product_P-HB-NO16-B,product.uom_รีม,0
,,30,__export__.product_product_6947,product.uom_เล่ม,0
,,30,product_2321224,product.uom_เล่ม,0
,,30,product_2800707,product.uom_เล่ม,0
,,30,product_2800709,product.uom_เล่ม,0
,,30,product_2800706,product.uom_เล่ม,0
,,30,product_2800708,product.uom_เล่ม,0
,,30,product_3454294,product.uom_เล่ม,0
,,30,product_3454403,product.uom_เล่ม,0
,,30,product_N-DR-BDB6,product.uom_เล่ม,0
,,30,product_P-PT-057,product.uom_แผ่น,0
,,30,product_P-PT-007,product.uom_แผ่น,0
,,30,product_P-PT-058,product.uom_แผ่น,0
,,30,product_P-PT-008,product.uom_แผ่น,0
,,30,product_N-MIS-PEON18100,product.uom_เล่ม,0
,,30,product_N-MIS-DW1830,product.uom_เล่ม,0
,,30,product_N-GA-18D3100,product.uom_เล่ม,0
,,30,product_N-GA-18D350,product.uom_เล่ม,0
,,30,product_N-MIS-PEON1850,product.uom_เล่ม,0
,,30,product_P-PT-059,product.uom_แผ่น,0
,,30,product_P-PT-009,product.uom_แผ่น,0
,,30,product_2249647,product.uom_เล่ม,0
,,30,product_2249710,product.uom_เล่ม,0
,,30,product_MSK-005,product.uom_เล่ม,0
,,30,product_MSK-002,product.uom_เล่ม,0
,,30,product_2800716,product.uom_เล่ม,0
,,30,product_2800714,product.uom_เล่ม,0
,,30,product_MSK-006,product.uom_เล่ม,0
,,30,product_MSK-004,product.uom_เล่ม,0
,,30,product_P-PT-042,product.uom_แผ่น,0
,,30,product_P-PT-2SM,product.uom_แผ่น,0
,,30,product_P-LG-008,product.uom_ห่อ,0
,,30,product_MSL-001,product.uom_เล่ม,0
,,30,product_1918591,product.uom_เล่ม,0
,,30,product_P-PT-060,product.uom_แผ่น,0
,,30,product_268335,product.uom_เล่ม,0
,,30,product_2800529,product.uom_เล่ม,0
,,30,product_3454340,product.uom_เล่ม,0
,,30,product_P-HB-NO20-A,product.uom_รีม,0
,,30,product_P-HB-NO20-B,product.uom_รีม,0
,,30,product_MSL-002,product.uom_เล่ม,0
,,30,product_P-PT-021,product.uom_แผ่น,0
,,30,product_P-PT-030,product.uom_แผ่น,0
,,30,product_P-FP-PANDA,product.uom_ม้วน,0
,,30,product_P-FP-VENUS,product.uom_ม้วน,0
,,30,product_P-PT-031,product.uom_แผ่น,0
,,30,product_P-PT-032,product.uom_แผ่น,0
,,30,product_P-PT-033,product.uom_แผ่น,0
,,30,product_N-GA-21D3100,product.uom_เล่ม,0
,,30,product_N-GA-21D3100A,product.uom_เล่ม,0
,,30,product_N-GA-21D3150,product.uom_เล่ม,0
,,30,product_N-GA-21D3200,product.uom_เล่ม,0
,,30,product_N-GA-21D350,product.uom_เล่ม,0
,,30,product_N-GA-21D350A,product.uom_เล่ม,0
,,30,product_P-PT-034,product.uom_แผ่น,0
,,30,product_P-PT-035,product.uom_แผ่น,0
,,30,product_P-PT-036,product.uom_แผ่น,0
,,30,product_P-PT-037,product.uom_แผ่น,0
,,30,product_P-PT-038,product.uom_แผ่น,0
,,30,product_P-PT-039,product.uom_แผ่น,0
,,30,product_MSL-003,product.uom_เล่ม,0
,,30,product_P-PT-022,product.uom_แผ่น,0
,,30,product_P-LG-001,product.uom_ห่อ,0
,,30,product_P-PT-040,product.uom_แผ่น,0
,,30,product_MSL-004,product.uom_เล่ม,0
,,30,product_P-PT-023,product.uom_แผ่น,0
,,30,product_P-LG-002,product.uom_ห่อ,0
,,30,product_P-GB-230G-31*21dot5,product.uom_รีม,0
,,30,product_P-GB-230G-31*43,product.uom_รีม,0
,,30,product_P-PT-024,product.uom_แผ่น,0
,,30,product_P-HB-NO24-A,product.uom_รีม,0
,,30,product_P-HB-NO24-B,product.uom_รีม,0
,,30,product_P-PT-025,product.uom_แผ่น,0
,,30,product_P-GB-250G-31*21dot5,product.uom_รีม,0
,,30,product_P-GB-250G-31*43,product.uom_รีม,0
,,30,product_3184434,product.uom_เล่ม,0
,,30,product_N-WA-2D5100,product.uom_เล่ม,0
,,30,product_N-WA-2S5100,product.uom_เล่ม,0
,,30,product_N-GA-2D5100,product.uom_เล่ม,0
,,30,product_N-GA-2S5100,product.uom_เล่ม,0
,,30,product_N-WA-2D5150,product.uom_เล่ม,0
