id,warehouse_id,location_id,product_main_code,product_id/id,product_min_qty,product_uom,product_max_qty
count_feb2015_floor1_239,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-042,product_P-PCWF-042,80,ห่อ,0
count_feb2015_floor1_240,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-DP-B-003,product_P-DP-B-003,25,ห่อ,0
count_feb2015_floor1_241,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-017,product_P-PCWF-017,1200,ห่อ,0
count_feb2015_floor1_242,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-026,product_P-PCWF-026,300,ห่อ,0
count_feb2015_floor1_243,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-027,product_P-PCWF-027,150,ห่อ,0
count_feb2015_floor1_244,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-028,product_P-PCWF-028,230,ห่อ,0
count_feb2015_floor1_245,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-029,product_P-PCWF-029,200,ห่อ,0
count_feb2015_floor1_246,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-030,product_P-PCWF-030,150,ห่อ,0
count_feb2015_floor1_247,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-031,product_P-PCWF-031,375,ห่อ,0
count_feb2015_floor1_248,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-032,product_P-PCWF-032,300,ห่อ,0
count_feb2015_floor1_249,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-038,product_P-PCWF-038,100,ห่อ,0
count_feb2015_floor1_250,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-039,product_P-PCWF-039,50,ห่อ,0
count_feb2015_floor1_251,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-040,product_P-PCWF-040,20,ห่อ,0
count_feb2015_floor1_252,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-018,product_P-PCWF-018,1300,ห่อ,0
count_feb2015_floor1_253,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-041,product_P-PCWF-041,80,ห่อ,0
count_feb2015_floor1_254,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-002,product_P-PCWF-002,10,ห่อ,0
count_feb2015_floor1_255,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-019,product_P-PCWF-019,1300,ห่อ,0
count_feb2015_floor1_256,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-020,product_P-PCWF-020,1100,ห่อ,0
count_feb2015_floor1_257,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-021,product_P-PCWF-021,600,ห่อ,0
count_feb2015_floor1_258,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-022,product_P-PCWF-022,540,ห่อ,0
count_feb2015_floor1_259,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-023,product_P-PCWF-023,300,ห่อ,0
count_feb2015_floor1_260,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-024,product_P-PCWF-024,300,ห่อ,0
count_feb2015_floor1_261,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-025,product_P-PCWF-025,600,ห่อ,0
count_feb2015_floor1_262,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-012,product_P-PCWF-012,10,ห่อ,0
count_feb2015_floor1_263,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-013,product_P-PCWF-013,10,ห่อ,0
count_feb2015_floor1_264,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-014,product_P-PCWF-014,8,ห่อ,0
