id,warehouse_id,location_id,product_main_code,product_id/id,product_uom,product_min_qty,product_max_qty
count_nov14_floor1_54,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-F8306,product_N-F8306,เล่ม,3000,0
count_nov14_floor1_55,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-F9100,product_N-F9100,เล่ม,2000,0
count_nov14_floor1_56,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-F920,product_N-F920,เล่ม,80000,0
count_nov14_floor1_57,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,159002,product_159002,เล่ม,30000,0
count_nov14_floor1_58,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-F940,product_N-F940,เล่ม,55000,0
count_nov14_floor1_59,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,209768,product_209768,เล่ม,30000,0
count_nov14_floor1_60,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,268691,product_268691,เล่ม,10000,0
count_nov14_floor1_61,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-F950,product_N-F950,เล่ม,35000,0
count_nov14_floor1_62,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,949949,product_949949,เล่ม,15000,0
count_nov14_floor1_63,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,1643087,product_1643087,เล่ม,5500,0
count_nov14_floor1_64,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-F960,product_N-F960,เล่ม,10000,0
count_nov14_floor1_65,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,268693,product_268693,เล่ม,10000,0
count_nov14_floor1_66,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,1300369,product_1300369,เล่ม,1500,0
count_nov14_floor1_67,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,1451547,product_1451547,เล่ม,1000,0
count_nov14_floor1_68,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-F980,product_N-F980,เล่ม,15000,0
count_nov14_floor1_69,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,159003,product_159003,เล่ม,5000,0
count_nov14_floor1_70,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-F8307,product_N-F8307,เล่ม,1500,0
count_nov14_floor1_71,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,143722,product_143722,เล่ม,10000,0
count_nov14_floor1_72,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,1451543,product_1451543,เล่ม,10000,0
