id,warehouse_id,location_id,product_main_code,product_id/id,product_uom,product_min_qty,product_max_qty
count_feb2016_mhc2_385,สำเร็จรูป มหาชัย,FG มหาชัย,312588,product_176096,เล่ม,200,0
count_feb2016_mhc2_386,สำเร็จรูป มหาชัย,FG มหาชัย,8851419001964,__export__.product_product_7945,เล่ม,500,0
count_feb2016_mhc2_387,สำเร็จรูป มหาชัย,FG มหาชัย,8851419008048,__export__.product_product_7957,เล่ม,200,0
count_feb2016_mhc2_388,สำเร็จรูป มหาชัย,FG มหาชัย,8851419011369,__export__.product_product_7956,เล่ม,200,0
count_feb2016_mhc2_389,สำเร็จรูป มหาชัย,FG มหาชัย,5203218,__export__.product_product_7925,เล่ม,0,0
count_feb2016_mhc2_390,สำเร็จรูป มหาชัย,FG มหาชัย,8851419002039,__export__.product_product_7938,เล่ม,100,0
count_feb2016_mhc2_391,สำเร็จรูป มหาชัย,FG มหาชัย,319929,__export__.product_product_8010,เล่ม,1000,0
count_feb2016_mhc2_392,สำเร็จรูป มหาชัย,FG มหาชัย,8851419008819,__export__.product_product_7961,เล่ม,50,0
count_feb2016_mhc2_393,สำเร็จรูป มหาชัย,FG มหาชัย,310143,product_182504,ห่อ,300,0
count_feb2016_mhc2_394,สำเร็จรูป มหาชัย,FG มหาชัย,310142,product_182503,ห่อ,200,0
count_feb2016_mhc2_395,สำเร็จรูป มหาชัย,FG มหาชัย,310140,product_182501,ห่อ,300,0
count_feb2016_mhc2_396,สำเร็จรูป มหาชัย,FG มหาชัย,310141,product_182502,ห่อ,220,0
count_feb2016_mhc2_397,สำเร็จรูป มหาชัย,FG มหาชัย,310789,product_182499,ห่อ,70,0
count_feb2016_mhc2_398,สำเร็จรูป มหาชัย,FG มหาชัย,310790,product_182500,ห่อ,40,0
count_feb2016_mhc2_399,สำเร็จรูป มหาชัย,FG มหาชัย,P-ANS-100,product_P-ANS-100,ห่อ,300,0
count_feb2016_mhc2_400,สำเร็จรูป มหาชัย,FG มหาชัย,P-ANS-120,product_P-ANS-120,ห่อ,100,0
count_feb2016_mhc2_401,สำเร็จรูป มหาชัย,FG มหาชัย,P-FS-NO150,product_P-FS-NO150,ห่อ,50,0
count_feb2016_mhc2_402,สำเร็จรูป มหาชัย,FG มหาชัย,P-LG-008,product_P-LG-008,ห่อ,3,0
count_feb2016_mhc2_403,สำเร็จรูป มหาชัย,FG มหาชัย,P-LG-001,product_P-LG-001,ห่อ,1,0
count_feb2016_mhc2_404,สำเร็จรูป มหาชัย,FG มหาชัย,P-LG-002,product_P-LG-002,ห่อ,4,0
count_feb2016_mhc2_405,สำเร็จรูป มหาชัย,FG มหาชัย,P-LG-013,product_P-LG-013,ห่อ,3,0
count_feb2016_mhc2_406,สำเร็จรูป มหาชัย,FG มหาชัย,P-LG-011,product_P-LG-011,ห่อ,2,0
count_feb2016_mhc2_407,สำเร็จรูป มหาชัย,FG มหาชัย,P-LG-009,product_P-LG-009,ห่อ,9,0
count_feb2016_mhc2_408,สำเร็จรูป มหาชัย,FG มหาชัย,P-LG-003,product_P-LG-003,ห่อ,1,0
count_feb2016_mhc2_409,สำเร็จรูป มหาชัย,FG มหาชัย,P-LG-004,product_P-LG-004,ห่อ,12,0
count_feb2016_mhc2_410,สำเร็จรูป มหาชัย,FG มหาชัย,P-LG-014,product_P-LG-014,ห่อ,4,0
count_feb2016_mhc2_411,สำเร็จรูป มหาชัย,FG มหาชัย,P-LG-012,product_P-LG-012,ห่อ,2,0
count_feb2016_mhc2_412,สำเร็จรูป มหาชัย,FG มหาชัย,P-LG-010,product_P-LG-010,ห่อ,2,0
