id,warehouse_id,location_id,product_main_code,product_id/id,product_uom,product_min_qty,product_max_qty
count_feb2016_floor2_617,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,P-CWF-055,product_P-CWF-055,ห่อ,5,0
count_feb2016_floor2_618,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,P-CWF-056,product_P-CWF-056,ห่อ,5,0
count_feb2016_floor2_619,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,P-CWF-057,product_P-CWF-057,ห่อ,10,0
count_feb2016_floor2_620,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,P-CWF-062,product_P-CWF-062,ห่อ,15,0
count_feb2016_floor2_621,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,P-CWF-058,product_P-CWF-058,ห่อ,10,0
count_feb2016_floor2_622,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,P-CWF-059,product_P-CWF-059,ห่อ,10,0
count_feb2016_floor2_623,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,P-CWF-060,product_P-CWF-060,ห่อ,7,0
count_feb2016_floor2_624,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,P-CWF-061,product_P-CWF-061,ห่อ,7,0
count_feb2016_floor2_625,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,P-TC-SAIKO,product_P-TC-SAIKO,ห่อ,70,0
count_feb2016_floor2_626,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,P-TC-AMANO,product_P-TC-AMANO,ห่อ,500,0
count_feb2016_floor2_627,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,MSK-007,product_MSK-007,เล่ม,10,0
count_feb2016_floor2_628,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,172584,product_172584,เล่ม,0,0
count_feb2016_floor2_629,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,319781,__export__.product_product_8004,ห่อ,300,0
count_feb2016_floor2_630,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,319782,__export__.product_product_8007,ห่อ,300,0
count_feb2016_floor2_631,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,319783,__export__.product_product_8005,ห่อ,300,0
count_feb2016_floor2_632,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,319784,__export__.product_product_8006,ห่อ,300,0
