id,name,inventory_line_id/location_id,inventory_line_id/product_id/id,ปป,inventory_line_id/product_qty,inventory_line_id/product_uom
,,สาทร ชั้น 1,product_P-CWF-076,กระดาษการ์ดสี 31*43นิ้ว 150แกรม 500แผ่น สีเขียว ,,รีม
,,สาทร ชั้น 1,product_P-CWF-077,กระดาษการ์ดสี 31*43นิ้ว 150แกรม 500แผ่น สีเหลือง ,,รีม
,,สาทร ชั้น 1,product_P-CWF-008,กระดาษการ์ดสี A4 120แกรม 180แผ่น สีฟ้า ,130,ห่อ
,,สาทร ชั้น 1,product_P-CWF-013,กระดาษการ์ดสี A4 120แกรม 180แผ่น สีส้ม ,6,ห่อ
,,สาทร ชั้น 1,product_P-CWF-014,กระดาษการ์ดสี A4 120แกรม 180แผ่น สีครีม ,755,ห่อ
,,สาทร ชั้น 1,product_P-CWF-009,กระดาษการ์ดสี A4 120แกรม 180แผ่น สีชมพู ,580,ห่อ
,,สาทร ชั้น 1,product_P-CWF-012,กระดาษการ์ดสี A4 120แกรม 180แผ่น สีม่วง ,144,ห่อ
,,สาทร ชั้น 1,product_P-CWF-010,กระดาษการ์ดสี A4 120แกรม 180แผ่น สีเขียว ,305,ห่อ
,,สาทร ชั้น 1,product_P-CWF-011,กระดาษการ์ดสี A4 120แกรม 180แผ่น สีเหลือง ,447,ห่อ
,,สาทร ชั้น 1,product_P-CWF-015,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีฟ้า ,933,ห่อ
,,สาทร ชั้น 1,product_P-CWF-020,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีส้ม ,284,ห่อ
,,สาทร ชั้น 1,product_P-CWF-021,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีครีม ,572,ห่อ
,,สาทร ชั้น 1,product_P-CWF-016,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีชมพู ,354,ห่อ
,,สาทร ชั้น 1,product_P-CWF-019,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีม่วง ,470,ห่อ
,,สาทร ชั้น 1,product_P-CWF-017,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีเขียว ,714,ห่อ
,,สาทร ชั้น 1,product_P-CWF-018,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีเหลือง ,459,ห่อ
,,สาทร ชั้น 1,__export__.product_product_6685,เทสโก้ การ์ดสี A4 120แกรม 30 แผ่น,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-001,กระดาษการ์ดสี A4 120แกรม 50แผ่น สีฟ้า ,200,ห่อ
,,สาทร ชั้น 1,product_P-CWF-006,กระดาษการ์ดสี A4 120แกรม 50แผ่น สีส้ม ,49,ห่อ
,,สาทร ชั้น 1,product_P-CWF-007,กระดาษการ์ดสี A4 120แกรม 50แผ่น สีครีม ,26,ห่อ
,,สาทร ชั้น 1,product_P-CWF-002,กระดาษการ์ดสี A4 120แกรม 50แผ่น สีชมพู ,200,ห่อ
,,สาทร ชั้น 1,product_P-CWF-005,กระดาษการ์ดสี A4 120แกรม 50แผ่น สีม่วง ,49,ห่อ
,,สาทร ชั้น 1,product_P-CWF-003,กระดาษการ์ดสี A4 120แกรม 50แผ่น สีเขียว ,200,ห่อ
,,สาทร ชั้น 1,product_P-CWF-004,กระดาษการ์ดสี A4 120แกรม 50แผ่น สีเหลือง ,200,ห่อ
,,สาทร ชั้น 1,product_P-CWF-041,กระดาษการ์ดสี A4 125แกรม 100แผ่น สีขาว ,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-022,กระดาษการ์ดสี A4 150แกรม 180แผ่น สีฟ้า ,421,ห่อ
,,สาทร ชั้น 1,product_P-CWF-023,กระดาษการ์ดสี A4 150แกรม 180แผ่น สีชมพู ,41,ห่อ
,,สาทร ชั้น 1,product_P-CWF-024,กระดาษการ์ดสี A4 150แกรม 180แผ่น สีเขียว ,672,ห่อ
,,สาทร ชั้น 1,product_P-CWF-025,กระดาษการ์ดสี A4 150แกรม 180แผ่น สีเหลือง ,162,ห่อ
,,สาทร ชั้น 1,product_P-CWF-026,กระดาษการ์ดสี A4 150แกรม 200แผ่น สีฟ้า ,175,ห่อ
,,สาทร ชั้น 1,product_P-CWF-027,กระดาษการ์ดสี A4 150แกรม 200แผ่น สีชมพู ,472,ห่อ
,,สาทร ชั้น 1,product_P-CWF-028,กระดาษการ์ดสี A4 150แกรม 200แผ่น สีเขียว ,0,ห่อ
,,สาทร ชั้น 1,product_P-CWF-029,กระดาษการ์ดสี A4 150แกรม 200แผ่น สีเหลือง ,130,ห่อ
,,สาทร ชั้น 1,product_P-CWF-040,กระดาษการ์ดสี A4 160แกรม 100แผ่น สีขาว ,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-039,กระดาษการ์ดสี A4 180แกรม 100แผ่น สีขาว ,,ห่อ
