id,name,inventory_line_id/location_id,inventory_line_id/product_id/id,NAME,inventory_line_id/product_qty,inventory_line_id/product_uom
stock_fg_floor1_sathorn_2feb14,นับสต๊อกชั้น1 สาทร วันที่ 2-Feb-14,สาทร ชั้น 1,product_291187,MKR สมุดฉีกไม่มีเส้น NO.4 100แผ่นเต็ม,0,เล่ม
,,สาทร ชั้น 1,product_N-TS-NO4NL,สมุดฉีกไม่มีเส้น NO.4 100แผ่นเต็ม,71600,เล่ม
,,สาทร ชั้น 1,product_1184980,เทสโก้แวลู สมุดฉีกเล่มเล็ก 4/90 แพ็ค 10,54240,เล่ม
,,สาทร ชั้น 1,product_N-TS-A70NL,สมุดฉีกไม่มีเส้น A70แผ่นเต็ม,13775,เล่ม
,,สาทร ชั้น 1,product_268309,เทสโก้ สมุดฉีกมีเส้น A80 แพ็ค 10,18840,เล่ม
,,สาทร ชั้น 1,product_N-TS-A90L,สมุดฉีกมีเส้น A90แผ่นเต็ม,9720,เล่ม
,,สาทร ชั้น 1,product_N-TS-AA100NL,สมุดฉีกไม่มีเส้น AA100แผ่นเต็ม,12275,เล่ม
,,สาทร ชั้น 1,product_103105,Q-BIZ สมุดฉีก 50g 100 แผ่น,148800,เล่ม
,,สาทร ชั้น 1,product_2249633,เทสโก้ ออแกไนเซอร์ A5 70g 80s CH แดง,1500,เล่ม
,,สาทร ชั้น 1,product_2249633,เทสโก้ ออแกไนเซอร์ A5 70g 80s CH ดำแดง,1488,เล่ม
,,สาทร ชั้น 1,product_2249633,เทสโก้ ออแกไนเซอร์ A5 70g 80s NV ชมพู,432,เล่ม
,,สาทร ชั้น 1,product_2249722,เทสโก้ ไดอารี่ปกสอด A5 CH ดำ,1020,เล่ม
,,สาทร ชั้น 1,product_2249726,เทสโก้ ไดอารี่สันห่วง A5 NV ชมพู,996,เล่ม
,,สาทร ชั้น 1,product_2249638,เทสโก้ ออแกไนเซอร์ A6 70G 80SCHดำแดง,720,เล่ม
,,สาทร ชั้น 1,product_2249639,เทสโก้ ออแกไนเซอร์A6 70G 80S CHแดง,708,เล่ม
,,สาทร ชั้น 1,product_2249642,เทสโก้ ออแกไนเซอร์ A6 70G 80S FRดำฟ้า,792,เล่ม
,,สาทร ชั้น 1,product_2249641,เทสโก้ ออแกไนเซอร์ A6 70G 80S NVชมพู,852,เล่ม
,,สาทร ชั้น 1,product_2249640,เทสโก้ ออแกไนเซอร์ A6 70G 80S NVดำชมพู,1344,เล่ม
,,สาทร ชั้น 1,product_2249628,เทสโก้ ออแกไนเซอร์B5 70g 80s CHดำแดง,348,เล่ม
,,สาทร ชั้น 1,product_2249630,เทสโก้ ออแกไนเซอร์B5 70g 80s FRดำฟ้า,534,เล่ม
,,สาทร ชั้น 1,product_2249629,เทสโก้ ออแกไนเซอร์B5 70g 80s NVดำชมพู,192,เล่ม
,,สาทร ชั้น 1,product_2249719,เทสโก้ ออแกไนเซอร์ผ้า CH ดำ,300,เล่ม
,,สาทร ชั้น 1,product_2249719,เทสโก้ ออแกไนเซอร์ผ้า NV ชมพู,336,เล่ม
,,สาทร ชั้น 1,product_1908011,Refill เนื้อในออแกไนเซอร์A5 70g 100แผ่น,768,เล่ม
,,สาทร ชั้น 1,product_2800714,สมุดใส่นามบัตร 2 ช่อง ปกแข็ง-ฟ้า,408,เล่ม
,,สาทร ชั้น 1,product_2800717,เทสโก้ สมุดปกแข็งใส่นามบัตร 3ช่องCH ดำ,780,เล่ม
,,สาทร ชั้น 1,product_2249715,เทสโก้ กระเป๋าใส่บัตร CH ดำ,624,เล่ม
,,สาทร ชั้น 1,product_2249715,เทสโก้ กระเป๋าใส่บัตร NV ชมพู,1212,เล่ม
,,สาทร ชั้น 1,product_2800710,เทสโก้ สมุดบันทึกปกหนังทรงยาว10x15.8 cm. กระดุม-ฟ้า,96,เล่ม
,,สาทร ชั้น 1,product_1245065,เทสโก้ สมุดโน๊ตปกหนังเล็ก 60แกรม 64 แผ่น,3960,เล่ม
,,สาทร ชั้น 1,product_1534561,เทสโก้ สมุดโน๊ตปกหนังกลาง 60แกรม 80แผ่น,4262,เล่ม
,,สาทร ชั้น 1,product_2800711,เทสโก้ สมุดบันทึกปกหนังทรงยาว7.5x13.5 CM .-ฟ้า,120,เล่ม
,,สาทร ชั้น 1,product_1534565,เทสโก้ สมุดโน๊ตปกหนังสันห่วงA5 70g 80ผ.,1142,เล่ม
,,สาทร ชั้น 1,product_2525970,เทสโก้ สมุดโน๊ตปกหนัง No.136 80แกรม 30แผ่น,4308,เล่ม
,,สาทร ชั้น 1,product_1244402,เทสโก้ สมุดโน๊ตปกหนัง No.188 100 แกรม 60 แผ่น,951,เล่ม
,,สาทร ชั้น 1,product_2525972,เทสโก้ สมุดโน๊ตปกหนัง No.199 100 แกรม 60 แผ่น,3702,เล่ม
,,สาทร ชั้น 1,product_2525974,เทสโก้ สมุดโน๊ตปกหนัง No.747 80 แกรม 60 แผ่น,5468,เล่ม
,,สาทร ชั้น 1,product_2800529,เทสโก้ แวลู สมุดบัญชีจีนเล็ก 20/100 แผ่นรวมปก 55g 40แผ่น,556,เล่ม
,,สาทร ชั้น 1,product_268335,เทสโก้ สมุดบัญชีจีนเล็ก 20/100 แผ่นรวมปก 55g 36 แผ่น P6,3587,เล่ม
,,สาทร ชั้น 1,product_1802343,เทสโก้ สมุดบัญชีจีนปกหนัง 60 แกรม 20/70 แผ่น,1992,เล่ม
,,สาทร ชั้น 1,product_2800546,เทสโก้ สมุดบัญชีจีนมุมมัน 70แกรม 12/100,9,เล่ม
,,สาทร ชั้น 1,product_2800547,เทสโก้ สมุดบัญชีเนื้อขาว 2 ช่องคู่ 5/50 แผ่น,600,เล่ม
,,สาทร ชั้น 1,product_N-BL-260C,สมุดปกสีวีนัส 70แกรม 9/24แผ่น,11052,เล่ม
,,สาทร ชั้น 1,product_N-MIS-DW930,สมุดริมห่วงวีนัส 9/30แผ่น,3972,เล่ม
,,สาทร ชั้น 1,product_124006,Q-BIZ สมุดปกการ์ดสี 9/30 แผ่น,6048,เล่ม
,,สาทร ชั้น 1,__export__.product_product_6957,กระดาษโน้ต70g 280แผ่น แพ็ค4,1866,เล่ม
,,สาทร ชั้น 1,product_N-HVT-70G5100A,สมุดปกแข็งมุมมัน 70แกรม 5/100แผ่น(A),441,เล่ม
,,สาทร ชั้น 1,product_2800544,เทสโก้ สมุดปกแข็งมุมมัน 70แกรม 5/100แผ่น HVB-51007,480,เล่ม
,,สาทร ชั้น 1,product_N-HVB-51007,สมุดปกแข็งมุมมัน 70แกรม 5/100แผ่น HVB-51007,7710,เล่ม
,,สาทร ชั้น 1,product_3454340,เทสโก้ สมุดบัญชี 20/100s 75g-ECO,233,เล่ม
