id,name,inventory_line_id/location_id,inventory_line_id/product_id/id,inventory_line_id/product_qty,inventory_line_id/product_uom
stock_fg_mahachai_24oct13,นับสต๊อกสำเร็จรูปมหาชัย วันที่ 24-Oct-13,FG มหาชัย,__export__.product_product_6936,,ห่อ
,,FG มหาชัย,__export__.product_product_6937,,ชุด
,,FG มหาชัย,__export__.product_product_6939,,กก.
,,FG มหาชัย,__export__.product_product_6941,,หน่วย
,,FG มหาชัย,__export__.product_product_6966,,โหล
,,FG มหาชัย,__export__.product_product_6940,,บิล
,,FG มหาชัย,product_MSH,,อัน
,,FG มหาชัย,product_P-GB-230G-31*21dot5,,รีม
,,FG มหาชัย,product_P-GB-230G-31*43,,รีม
,,FG มหาชัย,product_P-GB-250G-31*21dot5,,รีม
,,FG มหาชัย,product_P-GB-250G-31*43,,รีม
,,FG มหาชัย,product_P-GB-270G-31*21dot5,,รีม
,,FG มหาชัย,product_P-GB-270G-31*43,,รีม
,,FG มหาชัย,product_P-GB-290G-31*21dot5,,รีม
,,FG มหาชัย,product_P-GB-290G-31*43,,รีม
,,FG มหาชัย,product_P-GB-310G-31*21dot5,,รีม
,,FG มหาชัย,product_P-GB-310G-31*43,,รีม
,,FG มหาชัย,product_P-GB-350G-31*21dot5,,รีม
,,FG มหาชัย,product_P-GB-350G-31*43,,รีม
,,FG มหาชัย,product_P-GB-400G-31*21dot5,,รีม
,,FG มหาชัย,product_P-GB-400G-31*43,,รีม
,,FG มหาชัย,product_P-GB-450G-31*21dot5,,รีม
,,FG มหาชัย,product_P-GB-450G-31*43,,รีม
,,FG มหาชัย,product_P-GB-500G-31*21dot5,,รีม
,,FG มหาชัย,product_P-GB-500G-31*43,,รีม
,,FG มหาชัย,product_P-WCL-3*5,,ห่อ
,,FG มหาชัย,product_P-WCL-4*6,,ห่อ
,,FG มหาชัย,product_P-WCL-5*8,,ห่อ
,,FG มหาชัย,product_95056,,ห่อ
,,FG มหาชัย,product_235301,1030,ห่อ
,,FG มหาชัย,product_235302,,ห่อ
,,FG มหาชัย,product_P-CWF-080,,รีม
,,FG มหาชัย,product_P-CWF-084,,รีม
,,FG มหาชัย,product_P-CWF-079,,รีม
,,FG มหาชัย,product_P-CWF-078,,รีม
,,FG มหาชัย,product_P-CWF-083,,รีม
,,FG มหาชัย,product_P-CWF-082,,รีม
,,FG มหาชัย,product_P-CWF-081,,รีม
,,FG มหาชัย,product_P-CWF-087,,รีม
,,FG มหาชัย,product_P-CWF-086,,รีม
,,FG มหาชัย,product_P-CWF-085,,รีม
,,FG มหาชัย,product_P-CWF-088,,รีม
,,FG มหาชัย,product_P-CWF-069,,รีม
,,FG มหาชัย,product_P-CWF-073,,รีม
,,FG มหาชัย,product_P-CWF-068,,รีม
,,FG มหาชัย,product_P-CWF-067,,รีม
,,FG มหาชัย,product_P-CWF-072,,รีม
,,FG มหาชัย,product_P-CWF-071,,รีม
,,FG มหาชัย,product_P-CWF-070,,รีม
,,FG มหาชัย,product_P-CWF-076,,รีม
,,FG มหาชัย,product_P-CWF-075,,รีม
,,FG มหาชัย,product_P-CWF-074,,รีม
,,FG มหาชัย,product_P-CWF-077,,รีม
