id,warehouse_id,location_id,product_main_code,product_id/id,product_uom,product_min_qty,product_max_qty
count_dec1_floor2_1,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,182504,product_182504,ห่อ,150,0
count_dec1_floor2_2,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,182503,product_182503,ห่อ,150,0
count_dec1_floor2_3,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,182501,product_182501,ห่อ,150,0
count_dec1_floor2_4,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,182502,product_182502,ห่อ,150,0
count_dec1_floor2_5,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,182499,product_182499,ห่อ,100,0
count_dec1_floor2_6,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,182500,product_182500,ห่อ,100,0
count_dec1_floor2_7,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,P-ANS-100,product_P-ANS-100,ห่อ,300,0
count_dec1_floor2_8,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,P-ANS-120,product_P-ANS-120,ห่อ,200,0
count_dec1_floor2_9,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,P-FS-NO150,product_P-FS-NO150,ห่อ,50,0
count_dec1_floor2_10,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,P-LG-008,product_P-LG-008,ห่อ,1,0
count_dec1_floor2_11,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,P-LG-001,product_P-LG-001,ห่อ,1,0
count_dec1_floor2_12,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,P-LG-002,product_P-LG-002,ห่อ,5,0
count_dec1_floor2_13,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,P-LG-013,product_P-LG-013,ห่อ,10,0
count_dec1_floor2_14,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,P-LG-011,product_P-LG-011,ห่อ,10,0
count_dec1_floor2_15,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,P-LG-009,product_P-LG-009,ห่อ,5,0
count_dec1_floor2_16,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,P-LG-003,product_P-LG-003,ห่อ,10,0
count_dec1_floor2_17,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,P-LG-004,product_P-LG-004,ห่อ,10,0
count_dec1_floor2_18,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,P-LG-014,product_P-LG-014,ห่อ,5,0
count_dec1_floor2_19,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,P-LG-012,product_P-LG-012,ห่อ,5,0
