id,warehouse_id,location_id,product_main_code,product_id/id,product_uom,product_min_qty,product_max_qty
count_dec1_floor1_166,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,MSL-002,product_MSL-002,เล่ม,1500,0
count_dec1_floor1_167,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,MSL-003,product_MSL-003,เล่ม,2000,0
count_dec1_floor1_168,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,MSL-004,product_MSL-004,เล่ม,1500,0
count_dec1_floor1_169,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,MSL-005,product_MSL-005,เล่ม,200,0
count_dec1_floor1_170,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,MSL-006,product_MSL-006,เล่ม,200,0
count_dec1_floor1_171,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,MSL-007,product_MSL-007,เล่ม,700,0
count_dec1_floor1_172,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,MSL-008,product_MSL-008,เล่ม,500,0
count_dec1_floor1_173,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,139364,product_139364,ห่อ,150,0
count_dec1_floor1_174,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,182383,product_63_182383,ห่อ,1000,0
count_dec1_floor1_175,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,94796,product_94796,ห่อ,100,0
count_dec1_floor1_176,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-RP-A4-70G,product_P-RP-A4-70G,ห่อ,200,0
