id,product_id/id,product_name,warehouse_id,location_id,product_min_qty,product_max_qty,product_uom
stock_reorder_1,product_N-TA-100G12100,สมุดบัญชีจีนมุมผ้ามัน 100แกรม 12/100แผ่น,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,400,1600,เล่ม
stock_reorder_2,product_N-TA-100G12150,สมุดบัญชีจีนมุมผ้ามัน 100แกรม 12/150แผ่น,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,300,1200,เล่ม
stock_reorder_3,product_N-TA-100G12200,สมุดบัญชีจีนมุมผ้ามัน 100แกรม 12/200แผ่น,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,300,1200,เล่ม
stock_reorder_4,product_N-HVS-100G18100,สมุดปกแข็งหุ้มพลาสติก 100แกรม 18/100แผ่น,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,300,1200,เล่ม
stock_reorder_5,product_N-HVT-100G4100,สมุดปกแข็งมุมมัน 100แกรม 4/100แผ่น,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,400,1600,เล่ม
stock_reorder_6,product_N-D410,สมุดวาดเขียนปกภาพ 100แกรม 4/10แผ่น D-410,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,10000,40000,เล่ม
stock_reorder_7,product_N-HVT-100G4150,สมุดปกแข็งมุมมัน 100แกรม 4/150แผ่น,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,150,600,เล่ม
stock_reorder_8,product_N-HVT-100G4200,สมุดปกแข็งมุมมัน 100แกรม 4/200แผ่น,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,150,600,เล่ม
stock_reorder_9,product_2800545,เทสโก้ สมุดปกแข็งหุ้มพลาสติก 100แกรม 5/100แผ่น,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,300,1200,เล่ม
stock_reorder_10,product_N-HVT-100G5100,สมุดปกแข็งมุมมัน 100แกรม 5/100แผ่น,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,700,2800,เล่ม
stock_reorder_11,product_N-HVS-100G5100,สมุดปกแข็งหุ้มพลาสติก 100แกรม 5/100แผ่น,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,1000,4000,เล่ม
stock_reorder_12,product_N-HVT-100G5150,สมุดปกแข็งมุมมัน 100แกรม 5/150แผ่น,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,150,600,เล่ม
