id,name,inventory_line_id/location_id,inventory_line_id/product_id/id,inventory_line_id/product_id_XX,inventory_line_id/product_qty,inventory_line_id/product_uom
,,มหาชัย,product_P-GB-350G-31*21dot5,กระดาษกล่องเทาขาว 350แกรม 31*21.5นิ้ว 500แผ่น,,รีม
,,มหาชัย,product_P-GB-350G-31*43,กระดาษกล่องเทาขาว 350แกรม 31*43นิ้ว 500แผ่น,,รีม
,,มหาชัย,product_P-GB-400G-31*21dot5,กระดาษกล่องเทาขาว 400แกรม 31*21.5นิ้ว 500แผ่น,,รีม
,,มหาชัย,product_P-GB-400G-31*43,กระดาษกล่องเทาขาว 400แกรม 31*43นิ้ว 500แผ่น,,รีม
,,มหาชัย,product_P-GB-450G-31*21dot5,กระดาษกล่องเทาขาว 450แกรม 31*21.5นิ้ว 500แผ่น,,รีม
,,มหาชัย,product_P-GB-450G-31*43,กระดาษกล่องเทาขาว 450แกรม 31*43นิ้ว 500แผ่น,,รีม
,,มหาชัย,product_P-GB-500G-31*21dot5,กระดาษกล่องเทาขาว 500แกรม 31*21.5นิ้ว 500แผ่น,,รีม
,,มหาชัย,product_P-GB-500G-31*43,กระดาษกล่องเทาขาว 500แกรม 31*43นิ้ว 500แผ่น,,รีม
,,มหาชัย,product_P-WCL-3*5,"กระดาษการ์ดขาวตีเส้น 3*5นิ้ว 210แกรม 1,000แผ่น",,ห่อ
,,มหาชัย,product_P-WCL-4*6,กระดาษการ์ดขาวตีเส้น 4*6นิ้ว 210แกรม 500แผ่น,,ห่อ
,,มหาชัย,product_P-WCL-5*8,กระดาษการ์ดขาวตีเส้น 5*8นิ้ว 210แกรม 500แผ่น,,ห่อ
,,มหาชัย,product_95056,Q-BIZ กระดาษการ์ดสี 110g A4 200 ผ. (คละสี),719,ห่อ
,,มหาชัย,product_235301,Q-BIZ กระดาษการ์ดสีครีม 110g A4 100 ผ. ,0,ห่อ
,,มหาชัย,product_235302,Q-BIZ กระดาษการ์ดสีม่วง 110g A4 100 ผ. ,0,ห่อ
,,มหาชัย,product_P-CWF-080,กระดาษการ์ดสี 31*21.5นิ้ว 120แกรม 500แผ่น สีเขียว ,,รีม
,,มหาชัย,product_P-CWF-084,กระดาษการ์ดสี 31*21.5นิ้ว 120แกรม 500แผ่น สีครีม ,,รีม
,,มหาชัย,product_P-CWF-079,กระดาษการ์ดสี 31*21.5นิ้ว 120แกรม 500แผ่น สีชมพู ,,รีม
,,มหาชัย,product_P-CWF-078,กระดาษการ์ดสี 31*21.5นิ้ว 120แกรม 500แผ่น สีฟ้า ,,รีม
,,มหาชัย,product_P-CWF-083,กระดาษการ์ดสี 31*21.5นิ้ว 120แกรม 500แผ่น สีม่วง ,,รีม
,,มหาชัย,product_P-CWF-082,กระดาษการ์ดสี 31*21.5นิ้ว 120แกรม 500แผ่น สีส้ม ,,รีม
,,มหาชัย,product_P-CWF-081,กระดาษการ์ดสี 31*21.5นิ้ว 120แกรม 500แผ่น สีเหลือง ,,รีม
,,มหาชัย,product_P-CWF-087,กระดาษการ์ดสี 31*21.5นิ้ว 150แกรม 500แผ่น สีเขียว ,,รีม
,,มหาชัย,product_P-CWF-086,กระดาษการ์ดสี 31*21.5นิ้ว 150แกรม 500แผ่น สีชมพู ,,รีม
,,มหาชัย,product_P-CWF-085,กระดาษการ์ดสี 31*21.5นิ้ว 150แกรม 500แผ่น สีฟ้า ,,รีม
,,มหาชัย,product_P-CWF-088,กระดาษการ์ดสี 31*21.5นิ้ว 150แกรม 500แผ่น สีเหลือง ,,รีม
,,มหาชัย,product_P-CWF-069,กระดาษการ์ดสี 31*43นิ้ว 120แกรม 500แผ่น สีเขียว,,รีม
,,มหาชัย,product_P-CWF-073,กระดาษการ์ดสี 31*43นิ้ว 120แกรม 500แผ่น สีครีม ,,รีม
,,มหาชัย,product_P-CWF-068,กระดาษการ์ดสี 31*43นิ้ว 120แกรม 500แผ่น สีชมพู ,,รีม
,,มหาชัย,product_P-CWF-067,กระดาษการ์ดสี 31*43นิ้ว 120แกรม 500แผ่น สีฟ้า ,,รีม
,,มหาชัย,product_P-CWF-072,กระดาษการ์ดสี 31*43นิ้ว 120แกรม 500แผ่น สีม่วง ,,รีม
,,มหาชัย,product_P-CWF-071,กระดาษการ์ดสี 31*43นิ้ว 120แกรม 500แผ่น สีส้ม ,,รีม
,,มหาชัย,product_P-CWF-070,กระดาษการ์ดสี 31*43นิ้ว 120แกรม 500แผ่น สีเหลือง ,,รีม
,,มหาชัย,product_P-CWF-076,กระดาษการ์ดสี 31*43นิ้ว 150แกรม 500แผ่น สีเขียว ,,รีม
,,มหาชัย,product_P-CWF-075,กระดาษการ์ดสี 31*43นิ้ว 150แกรม 500แผ่น สีชมพู ,,รีม
,,มหาชัย,product_P-CWF-074,กระดาษการ์ดสี 31*43นิ้ว 150แกรม 500แผ่น สีฟ้า ,,รีม
,,มหาชัย,product_P-CWF-077,กระดาษการ์ดสี 31*43นิ้ว 150แกรม 500แผ่น สีเหลือง ,,รีม
,,มหาชัย,product_63_P-C01,กระดาษการ์ดสี A4 120แกรม 180แผ่น คละสี ,0,ห่อ
,,มหาชัย,product_P-CWF-010,กระดาษการ์ดสี A4 120แกรม 180แผ่น สีเขียว ,599,ห่อ
,,มหาชัย,product_P-CWF-014,กระดาษการ์ดสี A4 120แกรม 180แผ่น สีครีม ,786,ห่อ
,,มหาชัย,product_P-CWF-009,กระดาษการ์ดสี A4 120แกรม 180แผ่น สีชมพู ,900,ห่อ
,,มหาชัย,product_P-CWF-008,กระดาษการ์ดสี A4 120แกรม 180แผ่น สีฟ้า ,711,ห่อ
,,มหาชัย,product_P-CWF-012,กระดาษการ์ดสี A4 120แกรม 180แผ่น สีม่วง ,0,ห่อ
,,มหาชัย,product_P-CWF-013,กระดาษการ์ดสี A4 120แกรม 180แผ่น สีส้ม ,934,ห่อ
,,มหาชัย,product_P-CWF-011,กระดาษการ์ดสี A4 120แกรม 180แผ่น สีเหลือง ,2230,ห่อ
,,มหาชัย,product_P-CWF-017,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีเขียว ,1463,ห่อ
,,มหาชัย,product_P-CWF-021,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีครีม ,0,ห่อ
,,มหาชัย,product_P-CWF-016,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีชมพู ,1584,ห่อ
,,มหาชัย,product_P-CWF-015,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีฟ้า ,1485,ห่อ
,,มหาชัย,product_P-CWF-019,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีม่วง ,0,ห่อ
,,มหาชัย,product_P-CWF-020,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีส้ม ,1641,ห่อ
,,มหาชัย,product_P-CWF-018,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีเหลือง ,4156,ห่อ
,,มหาชัย,__export__.product_product_6925,กระดาษการ์ดสี A4 120แกรม 250แผ่น สีเขียว,,ห่อ
,,มหาชัย,__export__.product_product_6928,กระดาษการ์ดสี A4 120แกรม 250แผ่น สีครีม,,ห่อ
,,มหาชัย,__export__.product_product_6926,กระดาษการ์ดสี A4 120แกรม 250แผ่น สีชมพู,,ห่อ
,,มหาชัย,__export__.product_product_6923,กระดาษการ์ดสี A4 120แกรม 250แผ่น สีฟ้า,,ห่อ
,,มหาชัย,__export__.product_product_6929,กระดาษการ์ดสี A4 120แกรม 250แผ่น สีม่วง,,ห่อ
,,มหาชัย,__export__.product_product_6927,กระดาษการ์ดสี A4 120แกรม 250แผ่น สีส้ม,,ห่อ
,,มหาชัย,__export__.product_product_6924,กระดาษการ์ดสี A4 120แกรม 250แผ่น สีเหลือง,,ห่อ
,,มหาชัย,product_P-CWF-003,กระดาษการ์ดสี A4 120แกรม 50แผ่น สีเขียว ,,ห่อ
,,มหาชัย,product_P-CWF-007,กระดาษการ์ดสี A4 120แกรม 50แผ่น สีครีม ,,ห่อ
,,มหาชัย,product_P-CWF-002,กระดาษการ์ดสี A4 120แกรม 50แผ่น สีชมพู ,,ห่อ
,,มหาชัย,product_P-CWF-001,กระดาษการ์ดสี A4 120แกรม 50แผ่น สีฟ้า ,,ห่อ
,,มหาชัย,product_P-CWF-005,กระดาษการ์ดสี A4 120แกรม 50แผ่น สีม่วง ,,ห่อ
,,มหาชัย,product_P-CWF-006,กระดาษการ์ดสี A4 120แกรม 50แผ่น สีส้ม ,,ห่อ
,,มหาชัย,product_P-CWF-004,กระดาษการ์ดสี A4 120แกรม 50แผ่น สีเหลือง ,,ห่อ
,,มหาชัย,product_P-CWF-041,กระดาษการ์ดสี A4 125แกรม 100แผ่น สีขาว ,,ห่อ
,,มหาชัย,product_P-CWF-024,กระดาษการ์ดสี A4 150แกรม 180แผ่น สีเขียว ,474,ห่อ
,,มหาชัย,product_P-CWF-023,กระดาษการ์ดสี A4 150แกรม 180แผ่น สีชมพู ,0,ห่อ
,,มหาชัย,product_P-CWF-022,กระดาษการ์ดสี A4 150แกรม 180แผ่น สีฟ้า ,0,ห่อ
,,มหาชัย,product_P-CWF-025,กระดาษการ์ดสี A4 150แกรม 180แผ่น สีเหลือง ,0,ห่อ
,,มหาชัย,product_P-CWF-028,กระดาษการ์ดสี A4 150แกรม 200แผ่น สีเขียว ,434,ห่อ
,,มหาชัย,product_P-CWF-027,กระดาษการ์ดสี A4 150แกรม 200แผ่น สีชมพู ,0,ห่อ
,,มหาชัย,product_P-CWF-026,กระดาษการ์ดสี A4 150แกรม 200แผ่น สีฟ้า ,56,ห่อ
,,มหาชัย,product_P-CWF-029,กระดาษการ์ดสี A4 150แกรม 200แผ่น สีเหลือง ,257,ห่อ
,,มหาชัย,product_P-CWF-040,กระดาษการ์ดสี A4 160แกรม 100แผ่น สีขาว ,,ห่อ
,,มหาชัย,product_P-CWF-039,กระดาษการ์ดสี A4 180แกรม 100แผ่น สีขาว ,,ห่อ
,,มหาชัย,product_P-CWF-037,กระดาษการ์ดสี A4 180แกรม 100แผ่น สีเขียว ,,ห่อ
,,มหาชัย,product_P-CWF-036,กระดาษการ์ดสี A4 180แกรม 100แผ่น สีชมพู ,,ห่อ
,,มหาชัย,product_P-CWF-035,กระดาษการ์ดสี A4 180แกรม 100แผ่น สีฟ้า ,,ห่อ
,,มหาชัย,product_P-CWF-038,กระดาษการ์ดสี A4 180แกรม 100แผ่น สีเหลือง ,,ห่อ
,,มหาชัย,product_P-CWF-034,กระดาษการ์ดสี A4 210แกรม 100แผ่น สีขาว ,,ห่อ
,,มหาชัย,product_P-CWF-032,กระดาษการ์ดสี A4 210แกรม 100แผ่น สีเขียว ,,ห่อ
,,มหาชัย,product_P-CWF-031,กระดาษการ์ดสี A4 210แกรม 100แผ่น สีชมพู ,,ห่อ
,,มหาชัย,product_P-CWF-030,กระดาษการ์ดสี A4 210แกรม 100แผ่น สีฟ้า ,,ห่อ
,,มหาชัย,product_P-CWF-033,กระดาษการ์ดสี A4 210แกรม 100แผ่น สีเหลือง ,,ห่อ
,,มหาชัย,product_P-CWF-044,กระดาษการ์ดสี F4 120แกรม 180แผ่น สีเขียว ,,ห่อ
,,มหาชัย,product_P-CWF-043,กระดาษการ์ดสี F4 120แกรม 180แผ่น สีชมพู ,,ห่อ
,,มหาชัย,product_P-CWF-042,กระดาษการ์ดสี F4 120แกรม 180แผ่น สีฟ้า ,,ห่อ
,,มหาชัย,product_P-CWF-045,กระดาษการ์ดสี F4 120แกรม 180แผ่น สีเหลือง ,,ห่อ
,,มหาชัย,product_P-CWF-048,กระดาษการ์ดสี F4 120แกรม 200แผ่น สีเขียว ,,ห่อ
,,มหาชัย,product_P-CWF-047,กระดาษการ์ดสี F4 120แกรม 200แผ่น สีชมพู ,,ห่อ
,,มหาชัย,product_P-CWF-046,กระดาษการ์ดสี F4 120แกรม 200แผ่น สีฟ้า ,,ห่อ
,,มหาชัย,product_P-CWF-049,กระดาษการ์ดสี F4 120แกรม 200แผ่น สีเหลือง ,,ห่อ
,,มหาชัย,product_P-CWF-052,กระดาษการ์ดสี F4 150แกรม 180แผ่น สีเขียว ,,ห่อ
,,มหาชัย,product_P-CWF-051,กระดาษการ์ดสี F4 150แกรม 180แผ่น สีชมพู ,,ห่อ
,,มหาชัย,product_P-CWF-050,กระดาษการ์ดสี F4 150แกรม 180แผ่น สีฟ้า ,,ห่อ
,,มหาชัย,product_P-CWF-053,กระดาษการ์ดสี F4 150แกรม 180แผ่น สีเหลือง,,ห่อ
,,มหาชัย,product_P-CWF-056,กระดาษการ์ดสี F4 150แกรม 200แผ่น สีเขียว ,,ห่อ
,,มหาชัย,product_P-CWF-055,กระดาษการ์ดสี F4 150แกรม 200แผ่น สีชมพู ,,ห่อ
,,มหาชัย,product_P-CWF-054,กระดาษการ์ดสี F4 150แกรม 200แผ่น สีฟ้า ,,ห่อ
,,มหาชัย,product_P-CWF-057,กระดาษการ์ดสี F4 150แกรม 200แผ่น สีเหลือง ,,ห่อ
,,มหาชัย,product_P-CWF-062,กระดาษการ์ดสี F4 180แกรม 100แผ่น สีขาว ,,ห่อ
,,มหาชัย,product_P-CWF-060,กระดาษการ์ดสี F4 180แกรม 100แผ่น สีเขียว ,,ห่อ
,,มหาชัย,product_P-CWF-059,กระดาษการ์ดสี F4 180แกรม 100แผ่น สีชมพู ,,ห่อ
,,มหาชัย,product_P-CWF-058,กระดาษการ์ดสี F4 180แกรม 100แผ่น สีฟ้า ,,ห่อ
