"id","name","inventory_line_id/location_id","inventory_line_id/product_id/id","inventory_line_id/product_qty","inventory_line_id/product_uom"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_80",0,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_81",0,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_82",877,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_83",580,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_79",0,"รีม"
,,"วัตถุดิบ มหาชัย","rawmat_WF-60-31*43-SCG",0,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_72",0,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_76",0,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_75",140,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_78",225,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_77",0,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_40",1091,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_39",1350,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_2",1048,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_3",21297,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_4",247,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_8",7725,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_5",48736,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_6",0,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_9",477,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_10",1655,"กก."
,,"วัตถุดิบ มหาชัย","__export__.product_product_7509",28496,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_7",188568,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_14",2139,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_13",9899,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_11",14212,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_12",0,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_15",1816,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_16",0,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_17",0,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_20",32909,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_19",0,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_18",0,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_24",64253,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_23",25344,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_21",33313,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_22",0,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_25",0,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_26",9431,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_27",24425,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_29",0,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_28",4590,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_30",5402,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_31",12341,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_32",13587,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_33",46300,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_34",0,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_35",34947,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_36",547,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_37",2717,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_38",2033,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_41",2306,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_42",5007,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_43",527,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_44",2280,"กก."
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_84",0,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_85",0,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_88",0,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_87",0,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_86",0,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_91",0,"รีม"
