id,name,inventory_line_id/location_id,inventory_line_id/product_id/id,inventory_line_id/product_uom,inventory_line_id/product_qty
physical_inventory_bird_floor2_count2,นับสต๊อก เบิร์ด ชั้น 2 วันที่ 24-Jun-13,คลังสำเร็จรูปชั้น 2,product_291187,เล่ม,
,,คลังสำเร็จรูปชั้น 2,__export__.product_product_6720,เล่ม,
,,คลังสำเร็จรูปชั้น 2,__export__.product_product_6722,เล่ม,
,,คลังสำเร็จรูปชั้น 2,__export__.product_product_6886,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_103098,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_103104,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_103105,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_103106,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_103107,เล่ม,360
,,คลังสำเร็จรูปชั้น 2,product_103138,เล่ม,3300
,,คลังสำเร็จรูปชั้น 2,product_106700,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_1127130,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_1127131,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_1127175,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_1127176,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_114225,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_114232,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_114236,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_114253,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_1164684,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_1184820,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_1184977,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_1184978,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_1184979,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_1184980,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_1207523,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_124006,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_1244402,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_1245065,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_124950,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_1300369,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_135230,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_135239,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_137677,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_139364,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_139528,เล่ม,2124
,,คลังสำเร็จรูปชั้น 2,product_140001,เล่ม,633
,,คลังสำเร็จรูปชั้น 2,product_140002,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_143720,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_143722,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_1451543,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_1451544,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_1451547,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_1451548,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_147372,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_1534561,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_1534565,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_1534566,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_1534821,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_159000,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_159001,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_159002,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_159003,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_159004,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_162447,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_162698,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_162838,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_162847,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_162849,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_162857,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_162861,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_162867,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_162868,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_162871,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_162986,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_163024,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_163037,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_163038,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_163039,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_163041,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_163042,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_163043,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_163048,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_1643087,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_1726869,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_172858,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_172859,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_172860,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_176091,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_176092,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_176093,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_176094,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_176095,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_176096,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_176103,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_176150,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_176509,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_176510,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_176894,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_176895,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_176896,เล่ม,
