id,name,inventory_line_id/location_id,inventory_line_id/product_id/id,inventory_line_id/product_uom,inventory_line_id/product_qty
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-086,รีม,
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-085,รีม,
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-088,รีม,
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-069,รีม,
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-073,รีม,
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-068,รีม,
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-067,รีม,
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-072,รีม,
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-071,รีม,
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-070,รีม,
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-076,รีม,
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-075,รีม,
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-074,รีม,
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-077,รีม,
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-010,ห่อ,283
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-014,ห่อ,825
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-009,ห่อ,0
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-008,ห่อ,264
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-012,ห่อ,625
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-013,ห่อ,429
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-011,ห่อ,122
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-017,ห่อ,211
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-021,ห่อ,77
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-016,ห่อ,310
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-015,ห่อ,466
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-019,ห่อ,0
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-020,ห่อ,340
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-018,ห่อ,450
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-003,ห่อ,0
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-007,ห่อ,26
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-002,ห่อ,0
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-001,ห่อ,0
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-005,ห่อ,49
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-006,ห่อ,49
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-004,ห่อ,0
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-041,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-024,ห่อ,179
