id,name,inventory_line_id/location_id,inventory_line_id/product_id/id,xxxx,inventory_line_id/product_qty,inventory_line_id/product_uom
physical_inventory_bird_floor2_count4,นับสต๊อก ชั้น 2 วันที่ 23-Jul-13,สาทร ชั้น 2,product_N-TS-470L,สมุดฉีกมีเส้น เบอร์4/70แผ่น,19120,เล่ม
,,สาทร ชั้น 2,product_649519,MKR สมุดฉีกหนา เบอร์ 5  75 แผ่น,72350,เล่ม
,,สาทร ชั้น 2,product_N-TS-A70L,สมุดฉีกมีเส้น A70แผ่นเต็ม,3025,เล่ม
,,สาทร ชั้น 2,product_N-TS-AA100L,สมุดฉีกมีเส้น AA100แผ่นเต็ม,9400,เล่ม
,,สาทร ชั้น 2,product_103138,Q-BIZ สมุดฉีก 50g 80 แผ่น,23300,เล่ม
,,สาทร ชั้น 2,product_N-PV-13,สมุดรายงาน 55แกรม 27แผ่น,3600,เล่ม
,,สาทร ชั้น 2,product_N-PV-A4206,สมุดฉีกรายงาน 60แกรม A4 20แผ่น PV-A4206,5556,เล่ม
,,สาทร ชั้น 2,product_N-PV-A4406B,สมุดฉีกรายงาน 60แกรม A4/40แผ่น ปกสีฟ้า,7280,เล่ม
,,สาทร ชั้น 2,product_N-PV-A4406,สมุดฉีกรายงาน 60แกรม A4 40แผ่น PV-A4406,4092,เล่ม
,,สาทร ชั้น 2,product_N-PV-A4506,สมุดฉีกรายงาน 60แกรม A4 50แผ่น PV-A4506,1944,เล่ม
,,สาทร ชั้น 2,product_N-PV-A440POOH,Atlux สมุดฉีกรายงาน A4 40 แผ่น หมีพู,1476,เล่ม
,,สาทร ชั้น 2,product_N-PV-A4506-1,Atlux สมุดฉีกรายงาน A4 60g 50 แผ่น,1092,เล่ม
,,สาทร ชั้น 2,product_N-PV-A4MICKEY,Atlux สมุดฉีกรายงาน A4 Mickey,3972,เล่ม
,,สาทร ชั้น 2,product_103107,Q-BIZ สมุดรายงาน 40 แผ่น,1758,เล่ม
,,สาทร ชั้น 2,product_N-DR-A5-1,Atlux สมุดโน๊ต A5,185,เล่ม
,,สาทร ชั้น 2,product_N-DR-A5ORG-1,Atlux ออแกไนเซอร์ A5 80g 240 หน้า,11,เล่ม
,,สาทร ชั้น 2,product_N-DR-B5-1,Atlux สมุดโน๊ต No.8,616,เล่ม
,,สาทร ชั้น 2,product_N-PVC-199,สมุดโน๊ตปกหนัง No.199 80แกรม 60แผ่น,174,เล่ม
,,สาทร ชั้น 2,product_N-PVC-747,สมุดโน๊ตปกหนัง No.747 80แกรม 60แผ่น,200,เล่ม
,,สาทร ชั้น 2,product_194528,Q-BIZ สมุดโน๊ตปกPVCเล็ก 60g 64s,3126,เล่ม
,,สาทร ชั้น 2,product_194527,Q-BIZ สมุดสันห่วงปกPVC -A5 70g 80s,261,เล่ม
,,สาทร ชั้น 2,product_N-TA-60G12100C,สมุดบัญชีจีนปกเคลือบพลาสติก 60แกรม 12/100แผ่น,222,เล่ม
,,สาทร ชั้น 2,product_N-TA-100G12100,MKR สมุดบัญชีจีนปกหนัง 60แกรม 12/100แผ่น,2656,เล่ม
,,สาทร ชั้น 2,product_N-TA-60G2070PVC,สมุดบัญชีจีนปกหนัง 60แกรม 20/70แผ่น,891,เล่ม
,,สาทร ชั้น 2,product_N-TA-100G12100,สมุดบัญชีจีนมุมผ้ามัน 100แกรม 12/100แผ่น,1446,เล่ม
,,สาทร ชั้น 2,product_N-TA-100G12150,สมุดบัญชีจีนมุมผ้ามัน 100แกรม 12/150แผ่น,168,เล่ม
,,สาทร ชั้น 2,product_N-TA-100G12200,สมุดบัญชีจีนมุมผ้ามัน 100แกรม 12/200แผ่น,180,เล่ม
