id,name,inventory_line_id/location_id,inventory_line_id/product_id/id,inventory_line_id/product_qty,inventory_line_id/product_uom
stock_rawmat_mahachai_25oct13,นับสต๊อกวัตถุดิบมหาชัย วันที่ 25-Oct-13,วัตถุดิบ มหาชัย,rawmat_GWB-250-31*43-อิตาลี,,รีม
,,วัตถุดิบ มหาชัย,rawmat_CWF-180-31*43-ขาวเยอรมัน,,รีม
,,วัตถุดิบ มหาชัย,rawmat_CWF-230-24*35-ขาวเยอรมัน ,,รีม
,,วัตถุดิบ มหาชัย,rawmat_FPP-120-25*36,,รีม
,,วัตถุดิบ มหาชัย,rawmat_GAP-128-31*43-Japan sinardg,,รีม
,,วัตถุดิบ มหาชัย,rawmat_GW-230-31*43-TP,,รีม
,,วัตถุดิบ มหาชัย,rawmat_GW-250-31*43-TP,,รีม
,,วัตถุดิบ มหาชัย,rawmat_GW-270-31*43-TP,,รีม
,,วัตถุดิบ มหาชัย,rawmat_GW-310-31*43-TP,,รีม
,,วัตถุดิบ มหาชัย,rawmat_GW-350-31*43-TP,,รีม
,,วัตถุดิบ มหาชัย,rawmat_GW-400-31*43-TP,,รีม
,,วัตถุดิบ มหาชัย,rawmat_GW-450-31*43-TP,,รีม
,,วัตถุดิบ มหาชัย,rawmat_GW-500-31*43-TP,,รีม
,,วัตถุดิบ มหาชัย,product_rawmat_mahachai_103,366,รีม
,,วัตถุดิบ มหาชัย,product_rawmat_mahachai_102,133.4,รีม
,,วัตถุดิบ มหาชัย,product_rawmat_mahachai_104,313,รีม
,,วัตถุดิบ มหาชัย,product_rawmat_mahachai_106,282,รีม
,,วัตถุดิบ มหาชัย,product_rawmat_mahachai_108,30,รีม
,,วัตถุดิบ มหาชัย,product_rawmat_mahachai_107,39.5,รีม
,,วัตถุดิบ มหาชัย,product_rawmat_mahachai_105,253,รีม
,,วัตถุดิบ มหาชัย,rawmat_CWF-110-27_5*39-เขียว-INDO,96,รีม
,,วัตถุดิบ มหาชัย,rawmat_CWF-110-27_5*39-เขียว-INDO,,รีม
,,วัตถุดิบ มหาชัย,product_rawmat_mahachai_113,0,รีม
,,วัตถุดิบ มหาชัย,product_rawmat_mahachai_115,96,รีม
,,วัตถุดิบ มหาชัย,product_rawmat_mahachai_115,,รีม
,,วัตถุดิบ มหาชัย,rawmat_CWF-110-27_5*39-ฟ้า-INDO,96,รีม
,,วัตถุดิบ มหาชัย,product_rawmat_mahachai_117,,รีม
,,วัตถุดิบ มหาชัย,rawmat_CWF-110-27_5*39-เหลือง-INDO,96,รีม
,,วัตถุดิบ มหาชัย,rawmat_CWF-110-27_5*39-เหลือง-INDO,,รีม
,,วัตถุดิบ มหาชัย,rawmat_CWF-110-31*43-เขียว-INDO,122.5,รีม
,,วัตถุดิบ มหาชัย,rawmat_CWF-110-31*43-เขียว-INDO,,รีม
,,วัตถุดิบ มหาชัย,rawmat_CWF-110-31*43-ครีม-SCG,,รีม
,,วัตถุดิบ มหาชัย,product_rawmat_mahachai_123,49,รีม
,,วัตถุดิบ มหาชัย,product_rawmat_mahachai_123,,รีม
